w_d,w_t,w_g,gt_mask,pred_mask,tp_mask,tn_mask,fp_mask,fn_mask
oh,INTJ,,1,1,1,0,0,0
it,NONE,,0,1,0,0,1,0
is,NONE,,0,1,0,0,1,0
it,NONE,,0,1,0,0,1,0
is,NONE,,0,1,0,0,1,0
well,INTJ,,1,1,1,0,0,0
both,NONE,both,0,0,0,1,0,0
of,NONE,of,0,0,0,1,0,0
ours,NONE,ours,0,0,0,1,0,0
is,NONE,is,0,0,0,1,0,0
school,NONE,,0,1,0,0,1,0
age,NONE,,0,1,0,0,1,0
,,school-aged,*,*,*,*,*,*
but,NONE,but,0,0,0,1,0,0
we,NONE,we,0,0,0,1,0,0
do,NONE,do,0,0,0,1,0,0
n't,NONE,n't,0,0,0,1,0,0
want,NONE,want,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
miss,NONE,miss,0,0,0,1,0,0
any,NONE,any,0,0,0,1,0,0
of,NONE,of,0,0,0,1,0,0
those,NONE,those,0,0,0,1,0,0
p,NONE,,0,1,0,0,1,0
t,NONE,,0,1,0,0,1,0
a,NONE,,0,1,0,0,1,0
-s,NONE,,0,1,0,0,1,0
and,NONE,,0,1,0,0,1,0
you,PRN,,1,1,1,0,0,0
know,PRN,,1,1,1,0,0,0
all,NONE,,0,1,0,0,1,0
of,NONE,,0,1,0,0,1,0
that,NONE,,0,1,0,0,1,0
,,ptas,*,*,*,*,*,*
