filename,speaker,turn,generated-text
sw2024.mrg,A,15,and I guess I like a variety of things lots of fiction type books right now I'm occasionally reading on a book about the Mardi Gras in New Orleans and it's
sw2012.mrg,A,25,"Well, presumably those who find out such information, if they are doing it, would prefer not to be known. I mean, you know, the classic, oh, I don't know, CIA conspiracy theories or whatever would have such parties trying to do it without your knowledge. So there's things that invade that second type of privacy where you do know about them, and possibly things that invade that second type of privacy without you knowing about it. And I can't talk about the second one other than to generate paranoia. I like to think that it's quite low."
sw2024.mrg,B,8,"Oh, yeah, it's absolutely great the way that it's broken out, and you can set up little trips and day trips and things. It's pretty neat. Oh, I like photography, magazines. I don't take a subscription or anything like that. Things, oh, been in engineering facilities. I do read a lot of building magazines and plant engineering magazines, magazines and read up on different ways to do things and energy management type of magazines. And kind of strange because it's not unusual to see an injury manual or something laying around."
sw2020.mrg,B,118,"I think, you know, and it's the same way with, you know, world music takes the forms that have really been, I guess, you know, the best example or, you know, the cream of the crop, I guess you could say, and then taking those qualities and then applying in the styles that are really, that are extremely enjoyable. And then it becomes a kind of music."
sw2024.mrg,A,35,"Well, I don't know. I have attended some seminars that had some tapes that went with them, but I guess not so much books, although they sometimes have manuals and things. But they would be things on like how to be successful and sort of talking to yourself, you know, getting yourself in gear to sort of pull yourself up by your bootstraps and do what you really want to do, but convincing you that you need to get on with it."
sw2020.mrg,B,104,"well, you know, really, that's not world music, but what Paul Simon's doing, I think, is great, because he's, you know, I think that, you know, using a, I guess what they call it, is eclectic, you know, drawing from a lot of different sources, and making, you know, a synthesis of a new type of music. What do you,"
sw2032.mrg,A,39,"But see, for example, they have, see what other bands consider like really hard rock is like thrash metal, which all they do is they have like this guitar and they just bang at the guitar and the guitar said like really loud."
sw2005.mrg,A,149,"I mean, money seems to be too big of an issue with what's going on today."
sw2012.mrg,A,71,"I also thought about it while I was waiting to talk to you that another thing that occurred to me is there's not so much invasion of my privacy because I know how to behave such that there isn't. But I realized I have to behave in a certain way in order to not have people invade my privacy. If I deviate from social norms of behavior, if I run up and down the street yelling or something, someone's going to invade my privacy very quickly."
sw2005.mrg,A,111,"I think, you know, for myself, I see that as probably what everything we"
sw2005.mrg,A,147,"Yeah. But I think that, you know, I mean, we always, I mean, I've had a lot of good experiences with many, many people, especially where they've had extended family. And I kind of see that, that, you know, perhaps, you know, we may need to, like, get close to the family environment and get down to the values of, you know, I mean,"
sw2010.mrg,B,22,"That's true. I agree with that. I noticed yesterday in the paper something said that it's been nominated for 12 awards, and all the critics initially said that it wouldn't go anywhere, that it was just going to be a dud. So it has surprised everybody."
sw2012.mrg,B,50,"but then if it turns out to generate incorrect things, that's even worse. Or if my call rate of eight or so a week went up even higher because someone had"
sw2005.mrg,B,4,"I'd be very, very careful in checking them out. I had to place my mother in a nursing home. She had a rather massive stroke about eight months ago, I guess."
sw2020.mrg,B,20,"Yeah. Well, I don't really have anything against rap music. The one thing I do object to about rap music is when it becomes militant or if it's violence-oriented."
sw2008.mrg,A,19,"I've recently tried to update my wardrobe, trying to put suits together that I can interchange the jackets and the blouses and everything."
sw2005.mrg,A,19,"Yeah, probably the hardest thing in my family, my grandmother, she had to be put in a nursing home. And she had used a walker for quite some time, probably about six to nine months. And she had a fall. And finally, she had Parkinson's disease."
