file,transcript_standard,transcript_disfluent
sw02005_A_111.wav,"I think for myself, I see that as probably...","I think for myself, I see that as probably what everything..."
sw02005_A_121.wav,"Yeah. You know, it's interesting that a lot of the population in the United States is changing, because now that so many more minorities, where they have had extended families for such a long time...","You know, it's interesting that a lot of the population in the United States is changing because, you know, now that so many more minorities, where they have had extended families for such a long time"
sw02005_A_127.wav,"But I guess as we become more industrialized and less in a rural situation, we choose not to deal with the extended family because we feel it's kind of cumbersome, when in reality it makes things much...","But I guess as we become more industrialized and less in a rural situation, we choose not to deal with the extended family because we feel it's kind of cumbersome, when in reality, it makes things much..."
sw02005_A_147.wav,"Yeah, but I think that I've had a lot of good experiences with many, many people, especially where they've had extended family. And I kind of see that, that perhaps we may need to get close to the family environment and get down to the values.","Yeah, but I think that, you know, we always--I mean I've had a lot of good experiences with many, many people, especially where they've had extended family, and I kind of see that. Perhaps we may need to get close to the family environment and get down to the values."
sw02005_A_149.wav,Money seems to be too big of an issue.,"I mean, money seems to be too big of an issue with what's going on today."
sw02005_A_155.wav,"I think that perhaps if we put money on the back burner, that may choose to alleviate a lot of the problem.",I think that perhaps if we put money on the back burner that may choose to alleviate a lot of the problems.
sw02005_A_19.wav,"Probably the hardest thing in my family, my grandmother, she had to be put in a nursing home. She had used a walker for quite some time, probably about six to nine months, and she had a fall and finally she had Parkinson's disease.","Yeah, probably the hardest thing in my family, my grandmother, she had to be put in a nursing home, and she had used a walker for quite some time, probably about six to nine months, and she had a fall, and finally she had Parkinson's disease"
sw02005_A_29.wav,"I mean, she has children all across the United States.","I mean, she had children all across the United States."
sw02005_A_37.wav,"Yeah, I mean for somebody who for most of their life has not just merely had a farm but had ten children, had a farm, ran everything because her husband was away in the coal mine","Yeah, I mean for somebody who for most of their life has not just merely had a farm but had ten children, had a farm, ran everything because her husband was away in the coal mine."
sw02005_A_47.wav,I think that all the brothers and sisters got together and they actually had a conference.,"I think that they had a great deal of, all the brothers and sisters got together, and they actually had a conference."
sw02005_A_55.wav,whether it was actually taking part in a lot of the decision making,"whether it was just giving money or whether it was actually taking part in a lot of the decision making, like finding a proper nursing home."
sw02005_A_65.wav,"So, I truly wish that if something like that were to happen that my children would do something like that for me.","So, I mean, I truly wish that if something like that were to happen, that my children would do something like that for me."
sw02005_A_81.wav,"With my grandmother, I think it was such that she did not have the problem. She was very well aware, and her daughter came and visited her","With my grandmother, I think it was such that she did not have the problem. She was very well aware and her daughter came and visited her."
sw02005_A_93.wav,"But she was truly aware. I mean, I don't know how I would deal if one of my parents came with Alzheimer's or something like that, which is far more devastating.","But she was truly aware. I mean, I don't know how I would deal if one of my parents came with Alzheimer's or something like that, which is far more devastating."
sw02005_A_99.wav,I think one thing that they were really concerned with probably was the fact it wasn't necessarily the quantity of care but the quality.,"And I think that one thing that they were really concerned with probably was the fact it wasn't necessarily, you know, like the quantity of care, but the quality of"
sw02005_B_14.wav,"Is there something else we could have done, you know, in checking out all the places that might be available?","Is there something else we could have done, you know, in checking out all the places that might be available? Of course, you know, there's not one on every corner, especially in smaller areas."
sw02005_B_2.wav,"Well, of course, it's one of the last few things in the world you'd ever want to do unless it's just really for their own good.","Well, of course, you know, it's one of the last few things in the world you'd ever want to do, unless it's just, you know, really, you know, for their own good."
sw02005_B_4.wav,"I'd be very, very careful in checking them out. I had to place my mother in a nursing home. She had a rather massive stroke about eight months ago I guess.","I'd be very, very careful in checking them out. I had to place my mother in a nursing home. She had a rather massive stroke about eight months ago, I guess."
sw02005_B_8.wav,So I was very comfortable in doing it when it got to the point that we had to do it. But I had an occasion for my mother-in-law who had fell and could not take care of herself anymore and was confined to a nursing home for a while. That was really not a very good experience. It had to be done in a hurry. We didn't have six months to check all these places out and it was really not a very good deal.,"So I was very comfortable in doing it when it got to the point that we had to do it. But I had an occasion for my mother-in-law who had fell and needed to be, you know, could not take care of herself anymore and was confined to a nursing home for a while. That was really not a very good experience. It had to be done in a hurry. I mean, we didn't have, you know, like six months to check all these places out. And it was really not a very good deal."
sw02008_A_19.wav,"I've recently tried to update my wardrobe, trying to put suits together that I can interchange the jackets and the blouses.","I've recently tried to update my wardrobe, trying to put suits together that I can interchange the jackets and the blouses."
sw02008_A_75.wav,"This is pretty unseasonal, but it feels good. Everybody doesn't have cabin fever today.","This is pretty unseasonal, but at least, you know, it feels good. Everybody doesn't have cabin fever today."
sw02008_B_18.wav,"So I predominantly wear flat shoes, you know, in the winter I wear sweaters, in the summer I like one-piece dresses, short sleeves.","So I predominantly wear flat shoes, you know, in the winter I wear sweaters, in the summer, you know, I like one-piece dresses, short sleeves, things like..."
sw02008_B_2.wav,"Let's see, what did I wear to work today? Actually, I wore corduroy shorts with a white blouse and flat shoes.","Um, let's see, what did I wear to work today? Um, actually, I wore corduroy shorts with a white blouse and flat shoes."
sw02008_B_48.wav,"In fact, I just got a new outfit as a gift. It's one of those skorts.","In fact, I just got a new outfit as a gift that, um, it's one of those skorts, you know, it's shorts but it looks like a skirt"
sw02008_B_6.wav,"I do vary. You know, I wear suits, I wear skirts and sweaters, on that occasion I can wear jeans.","I do vary. You know, I wear suits, I wear skirts and sweaters. On occasion I can wear jeans."
sw02008_B_62.wav,"Yeah, like right now,","Yeah, yeah, so I'm, you know, like right now, today was about, you know,"
sw02010_A_23.wav,"Well, the interesting thing was I had heard that, and I tend, I think, to overreact occasionally when somebody tells me it's that great.","Well, the interesting thing was that I heard that, and I tend to I think overreact occasionally when somebody tells me it's that great."
sw02010_B_22.wav,"I agree with that. I noticed yesterday in the paper something said that it, I think it's been nominated for 12 awards, and all the critics initially said that it wouldn't go anywhere, that it was just going to be a dud. So it surprised everybody.","I agree with that. I noticed yesterday in the paper something said that it, I think it's been nominated for 12 awards and all the critics initially said that, you know, it wouldn't go anywhere, that it was just going to be a dud. So it has surprised everybody."
sw02010_B_38.wav,"It's suspenseful. There's not really any blood and guts in it or anything like that. It's more suspense. The other one, Silence of the Lambs, is kind of a gory movie if somebody's not into that kind of stuff. It's pretty graphic at points, but I think they're both excellent movies.","It's suspenseful, there's not really any blood and guts in it or anything like that. It's more suspense. The other one, Silence of the Lambs, is kind of a gory movie. If somebody's not into that kind of stuff, it's pretty graphic at points, but I think they're both excellent movies."
sw02010_B_50.wav,"I think that his heart was in it, but I don't think he really knew it was going to be as big as it was. I think it was something that he really wanted to do. He wanted to direct it. He wanted to star in it. He enjoyed the storyline, and I think he really wanted it. Whether it won all kinds of awards or whether it just was okay at the box office, I think he would have been happy because I think he did a good job, and the self-satisfaction he got out of it is much greater than any awards that they can give him.","I think that I think he really his heart was in it but I don't think he really knew it was going to be as big as it was. I think it was something that he really wanted to do. He wanted to direct it, he wanted to star in it. You know he enjoyed the storyline and I think he just really he really wanted it whether it whether it won all kinds of awards or whether it just was okay at the box office I think he would have been happy because I think that I think he did a good job and the self-satisfaction he got out of it is much greater than any awards that they can give him."
sw02012_A_101.wav,"Anyone I give my number to is welcome to call me, but no one is just welcome to come by my house. So that is more of a sense.","Because I, any, anyone, any friend, anyone I give my number to is welcome to call me, but no one is just welcome to come by my house."
sw02012_A_15.wav,"I think they prey on people's inherent politeness on the phone. Even with a machine, I find people being kind of polite and waiting for it to finish what it has to say, and then they feel an obligation to respond.","I think they prey on people's inherent politeness on the phone. Even with a machine, I find people being kind of polite and waiting for it to finish what it has to say, and then they feel an obligation to respond, even though there's not even a"
sw02012_A_25.wav,"Well, presumably those who find out such information, if they are doing it, would prefer not to be known. I mean, you know, the classic, oh I don't know, CIA conspiracy theories or whatever, would have such parties trying to do it without your knowledge. So there's things that invade that second type of privacy where you do know about them and possibly things that invade that second type of privacy without you knowing about it. I can't talk about the second one other than to generate paranoia, to surmise. I like to think that it's quite low.","Well, presumably those who find out such information, if they are doing it, would prefer not to be known. I mean, you know, the classic, oh, I don't know, CIA conspiracy theories or whatever would have such parties trying to do it without your knowledge. So there's things that invade that second type of privacy where you do know about them and possibly things that invade that second type of privacy without you knowing about it. I can't talk about the second one other than to generate paranoia, to surmise. And I like to think that it's quite low."
sw02012_A_61.wav,"Yeah, and one of the problems with the Lotus database was that it was uncontrolled access to who would have that information. I mean, they said they would give it out to only select companies, but just like software is only given out to customers, you can't believe...","Yeah, and one of the problems with the Lotus database was that it was uncontrolled access to who would have that information. I mean, they said they would give it out to only select companies, but, you know, just like software is only given out to customers, I mean, you can't believe"
sw02012_A_63.wav,"It would be pirated, and they wouldn't bother to check that carefully anyway to someone who's offering full cash price.","It would be pirated, and they wouldn't bother to check that carefully anyway to someone who's offering, you know, full cash price"
sw02012_A_65.wav,"You can't tell what a company really has to do with it, and there's something rather ominous about having virtually any hacker being able to know what your income is, what your spending habits are, and that hacker just has to get in touch with a sneak thief, and suddenly what started as an invasion of privacy could be an invasion.","You can't tell what a company really has to do with it, and there's something rather ominous about having virtually any hacker being able to know what your income is, what your spending habits are, and that hacker just has to get in touch with a sneak thief, and suddenly what started as an invasion of privacy could be an invasion of..."
sw02012_A_71.wav,"I also thought about it as I was waiting to talk to you, that another thing that occurred to me is there's not so much invasion of my privacy because I know how to behave such that there isn't. But I realized I have to behave in a certain way in order to not have people invade my privacy. If I deviate from social norms of behavior, if I run up and down the street yelling or something, someone's going to invade my privacy.","I also thought about it as I was waiting to talk to you, that another thing that occurred to me is there's not so much invasion of my privacy because I know how to behave such that there isn't. But I realized I have to behave in a certain way in order to not have people invade my privacy. If I deviate from social norms of behavior, if I run up and down the street yelling or something, someone's going to invade my privacy."
sw02012_A_87.wav,"Alone. Whereas in this country, where everyone respects the closed doors very much, if you go out and act like the lunatic, you violate the norms of public behavior. People start paying attention to you very much, and they start asking questions, and in a sense are invading your privacy. Although, if you know what the social norms are, you know, quote-unquote, you asked for it. But it does mean that you have yet another reason to follow a set of social","alone. Whereas in this country where everyone respects the closed doors very much, if you go out and act like the lunatic, you violate the norms of public behavior, people start paying attention to you very much and they start asking questions and in a sense are invading your privacy. Although, if you know what the social norms are, you know, quote unquote, you asked for it. But it does mean that you have yet another reason to follow a set of"
sw02012_A_99.wav,"Or the other classic examples, the Jehovah's Witness or Mormons or someone knocking at the front door, which is more intrusive because I have to really tell someone to go away, and there's that sense of I have now opened my door, they now see what I look like, what I live like, and they're doing something that normally I really only invite people to.","Or the other classic examples, the Jehovah's Witness or Mormons or someone knocking at the front door, which is more intrusive because I have to really tell someone to go away and there's that sense of, I have now opened my door, they now see what I look like, what I live like, and they're doing something that normally I really only invite people to."
sw02012_B_40.wav,"The other side of that might be if someone found out something or surmised something that weren't true, then I would feel probably more invaded on the gossipy sort of side.","Uh, the other side of that might be if someone found out something or surmised something that weren't true, then I would feel probably more invaded on the gossipy sort of."
sw02012_B_50.wav,"But then if it turns out to generate incorrect things, that's even worse.","But then if it turns out to generate incorrect things, that's even worse, or if my call rate of eight or so a week went up even higher because someone had"
sw02012_B_98.wav,That's interesting. Are there any other specific things where you feel your privacy to be invaded on a day-to-day basis?,That's interesting. Are there any other specific things where you feel your privacy to be invaded on a day-to-day basis or either on a growing frequency?
sw02015_B_18.wav,"I would have either gone to the store to buy it or I would have called for the sales to come out. Yeah, that's true. Living in an apartment complex, though, you know, you can't really stop those people from coming around even though they put up signs out front that says no solicitations. But they still come up to the front door and, you know, walk around. So usually what I do is I'll call the apartment manager and tell them, hey, there's people coming around, you know, and they're trying to sell something or they're from a religious organization. And I really hate that. I really, really do. I had somebody come to the door about two weeks ago. And gosh, it was about nine o'clock at night, too. It wasn't even what I would consider, you know, family hours, time to, you know, start going to bed. And it was somebody from, what was it, the Jesus Christ of Latter-day Saints. And I've read a lot about that particular sect and I don't particularly care for it. So I especially don't like for them to come up to my door and try and talk to me.","I don't know where to stop with some of them as far as the door-to-door, either religious groups or people selling products. If I wanted their products, I would have either gone to the store to buy it or I would have called for the sales to come out. Mm-hmm. Yeah, that's true. Living in an apartment complex, though, you can't really stop those people from coming around even though they put up signs out front that says no solicitations. But they still come up to the front door and walk around. So usually what I do is I'll call the apartment manager and tell them, hey, there's people coming around and they're trying to sell something or they're from a religious organization. And I really hate that. I really, really do. I had somebody come to the door about two weeks ago. And gosh, it was about 9 o'clock at night, too. It wasn't even what I would consider family hours, time to start going to bed. And it was somebody from, what was it, the Jesus Christ of Latter-day Saints. And I've read a lot about that particular sect, and I don't particularly care for it. So I especially don't like for them to come up to my door and try and talk to me."
