w_d,w_t,w_g,gt_mask,pred_mask,tp_mask,tn_mask,fp_mask,fn_mask
,,warehouse,*,*,*,*,*,*
and,NONE,and,0,0,0,1,0,0
at,NONE,at,0,0,0,1,0,0
that,NONE,that,0,0,0,1,0,0
point,NONE,point,0,0,0,1,0,0
it,EDITED,,1,1,1,0,0,0
the,NONE,the,0,0,0,1,0,0
warehouse,NONE,warehouse,0,0,0,1,0,0
was,NONE,was,0,0,0,1,0,0
over,NONE,over,0,0,0,1,0,0
across,NONE,,0,1,0,0,1,0
the,NONE,,0,1,0,0,1,0
,,at,*,*,*,*,*,*
,,crosby,*,*,*,*,*,*
road,NONE,road,0,0,0,1,0,0
and,NONE,and,0,0,0,1,0,0
it,NONE,it,0,0,0,1,0,0
was,NONE,was,0,0,0,1,0,0
n't,NONE,n't,0,0,0,1,0,0
air,NONE,air,0,0,0,1,0,0
conditioned,NONE,conditioned,0,0,0,1,0,0
and,NONE,and,0,0,0,1,0,0
it,EDITED,,1,1,1,0,0,0
,,and,*,*,*,*,*,*
we,NONE,we,0,0,0,1,0,0
were,NONE,were,0,0,0,1,0,0
there,NONE,there,0,0,0,1,0,0
like,INTJ,like,1,0,0,0,0,1
in,NONE,in,0,0,0,1,0,0
the,NONE,the,0,0,0,1,0,0
middle,NONE,middle,0,0,0,1,0,0
of,NONE,of,0,0,0,1,0,0
the,NONE,the,0,0,0,1,0,0
summer,NONE,summer,0,0,0,1,0,0
it,NONE,it,0,0,0,1,0,0
's,NONE,'s,0,0,0,1,0,0
unair-conditioned,NONE,,0,1,0,0,1,0
,,conditioned,*,*,*,*,*,*
,,unair,*,*,*,*,*,*
it,NONE,it,0,0,0,1,0,0
was,NONE,was,0,0,0,1,0,0
dusty,NONE,dusty,0,0,0,1,0,0
and,NONE,and,0,0,0,1,0,0
dirty,NONE,dirty,0,0,0,1,0,0
uh,INTJ,,1,1,1,0,0,0
,,um,*,*,*,*,*,*
there,NONE,there,0,0,0,1,0,0
was,NONE,was,0,0,0,1,0,0
like,INTJ,like,1,0,0,0,0,1
a,NONE,a,0,0,0,1,0,0
fan,NONE,fan,0,0,0,1,0,0
at,NONE,at,0,0,0,1,0,0
the,NONE,the,0,0,0,1,0,0
very,NONE,very,0,0,0,1,0,0
end,NONE,end,0,0,0,1,0,0
of,NONE,of,0,0,0,1,0,0
the,NONE,the,0,0,0,1,0,0
row,NONE,row,0,0,0,1,0,0
and,NONE,and,0,0,0,1,0,0
that,NONE,that,0,0,0,1,0,0
was,NONE,was,0,0,0,1,0,0
it,NONE,it,0,0,0,1,0,0
and,NONE,and,0,0,0,1,0,0
so,NONE,so,0,0,0,1,0,0
we,NONE,we,0,0,0,1,0,0
did,NONE,did,0,0,0,1,0,0
n't,NONE,n't,0,0,0,1,0,0
really,NONE,really,0,0,0,1,0,0
know,NONE,know,0,0,0,1,0,0
we,NONE,we,0,0,0,1,0,0
were,NONE,were,0,0,0,1,0,0
n't,NONE,n't,0,0,0,1,0,0
supposed,NONE,supposed,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
we,NONE,we,0,0,0,1,0,0
thought,NONE,thought,0,0,0,1,0,0
t,NONE,,0,1,0,0,1,0
i,NONE,,0,1,0,0,1,0
,,ti,*,*,*,*,*,*
dress,NONE,dress,0,0,0,1,0,0
code,NONE,code,0,0,0,1,0,0
was,NONE,was,0,0,0,1,0,0
just,NONE,just,0,0,0,1,0,0
dress,NONE,dress,0,0,0,1,0,0
appropriate,NONE,appropriate,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
your,NONE,your,0,0,0,1,0,0
job,NONE,job,0,0,0,1,0,0
