w_d,w_t,w_g,gt_mask,pred_mask,tp_mask,tn_mask,fp_mask,fn_mask
i,PRN,,1,1,1,0,0,0
mean,PRN,,1,1,1,0,0,0
you,PRN,,1,1,1,0,0,0
know,PRN,,1,1,1,0,0,0
you,NONE,you,0,0,0,1,0,0
ca,NONE,ca,0,0,0,1,0,0
n't,NONE,n't,0,0,0,1,0,0
tell,NONE,tell,0,0,0,1,0,0
it,NONE,,0,1,0,0,1,0
what,NONE,what,0,0,0,1,0,0
a,NONE,a,0,0,0,1,0,0
company,NONE,company,0,0,0,1,0,0
really,NONE,really,0,0,0,1,0,0
has,NONE,has,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
do,NONE,do,0,0,0,1,0,0
with,NONE,with,0,0,0,1,0,0
it,NONE,it,0,0,0,1,0,0
and,NONE,and,0,0,0,1,0,0
there,NONE,there,0,0,0,1,0,0
's,NONE,'s,0,0,0,1,0,0
something,NONE,something,0,0,0,1,0,0
rather,NONE,rather,0,0,0,1,0,0
ominous,NONE,ominous,0,0,0,1,0,0
about,NONE,about,0,0,0,1,0,0
having,NONE,having,0,0,0,1,0,0
virtually,NONE,virtually,0,0,0,1,0,0
anyone,NONE,,0,1,0,0,1,0
any,NONE,any,0,0,0,1,0,0
hacker,NONE,hacker,0,0,0,1,0,0
being,NONE,being,0,0,0,1,0,0
able,NONE,able,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
know,NONE,know,0,0,0,1,0,0
what,NONE,what,0,0,0,1,0,0
your,NONE,your,0,0,0,1,0,0
income,NONE,income,0,0,0,1,0,0
is,NONE,is,0,0,0,1,0,0
what,NONE,what,0,0,0,1,0,0
your,NONE,your,0,0,0,1,0,0
spending,NONE,spending,0,0,0,1,0,0
habits,NONE,habits,0,0,0,1,0,0
are,NONE,are,0,0,0,1,0,0
and,EDITED,,1,1,1,0,0,0
you,EDITED,,1,1,1,0,0,0
know,EDITED,,1,1,1,0,0,0
and,EDITED,,1,1,1,0,0,0
and,NONE,and,0,0,0,1,0,0
that,NONE,that,0,0,0,1,0,0
hacker,NONE,hacker,0,0,0,1,0,0
just,NONE,just,0,0,0,1,0,0
has,NONE,has,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
get,NONE,get,0,0,0,1,0,0
in,EDITED,,1,1,1,0,0,0
to,EDITED,,1,1,1,0,0,0
in,NONE,in,0,0,0,1,0,0
touch,NONE,touch,0,0,0,1,0,0
with,NONE,with,0,0,0,1,0,0
the,NONE,,0,1,0,0,1,0
,,a,*,*,*,*,*,*
sneak,NONE,sneak,0,0,0,1,0,0
thief,NONE,thief,0,0,0,1,0,0
and,NONE,and,0,0,0,1,0,0
suddenly,NONE,suddenly,0,0,0,1,0,0
and,EDITED,,1,1,1,0,0,0
then,EDITED,,1,1,1,0,0,0
what,NONE,what,0,0,0,1,0,0
started,NONE,started,0,0,0,1,0,0
as,NONE,as,0,0,0,1,0,0
an,NONE,an,0,0,0,1,0,0
invasion,NONE,invasion,0,0,0,1,0,0
of,NONE,of,0,0,0,1,0,0
privacy,NONE,privacy,0,0,0,1,0,0
can,NONE,,0,1,0,0,1,0
,,could,*,*,*,*,*,*
be,NONE,be,0,0,0,1,0,0
an,NONE,an,0,0,0,1,0,0
invasion,NONE,invasion,0,0,0,1,0,0
of,NONE,,0,1,0,0,1,0
your,NONE,,0,1,0,0,1,0
actual,NONE,,0,1,0,0,1,0
home,NONE,,0,1,0,0,1,0
