file,speaker,turn,text_fluent,text_disfluent,keep,edited_count,intj_count,prn_count,edited_nodes_only,intj_only,prn_only,edited_intj,intj_prn,edited_prn,edited_prn_intj,ZH_gemini-2.5-flash,ES_gemini-2.5-flash,HI_gemini-2.5-flash,FR_gemini-2.5-flash,DE_gemini-2.5-flash,IT_gemini-2.5-flash,CZ_gemini-2.5-flash,AR_gemini-2.5-flash
sw2005,B,2,"of course, it's one of the last few things in the world you'd ever want to do Unless it's just really, for their own good.","_Well_, of course, _it_ _'s_ _, _ _you_ _know_ _, _ it's one of the last few things in the world you'd ever want to do _, _ _you_ _know_ _. _ Unless it's just _, _ _you_ _know_ _, _ really _, _ _you_ _know_ _, _ _and_, _uh_, _for_ _their_ _, _ _uh_ _, _ _you_ _know_ _, _ for their own good.",True,3,3,5,", of course, it's, it's one of the last few things in the world you'd ever want to do Unless it's just really and, for their, for their own good.","Well, of course, it's one of the last few things in the world you'd ever want to do Unless it's just really, uh, uh for their own good.",", of course, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, you know, for their own good.","Well, of course, it's, it's one of the last few things in the world you'd ever want to do Unless it's just really and, uh, for their, uh for their own good.","Well, of course, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, uh, uh, you know, for their own good.",", of course, it's, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, and, for their, you know, for their own good.","Well, of course, it's, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, and, uh, for their, uh, you know, for their own good.",当然了，这是你在世上最最不想做的事情之一，除非这真的是为了他们好，为了他们着想。,", por supuesto, es, es una de las últimas cosas que querrías hacer en la vida. A menos que sea realmente y, para su, para su propio bien.","बेशक, यह दुनिया की उन आख़िरी कुछ चीज़ों में से एक है जो आप कभी करना चाहेंगे। सिवाय इसके कि यह वाकई में और उनके, उनके अपने भले के लिए हो।","Bien sûr, c'est, c'est une des dernières choses au monde qu'on voudrait faire. À moins que ce ne soit vraiment et, pour leur... pour leur propre bien.","Natürlich ist es eines der letzten Dinge auf der Welt, die man jemals tun möchte. Es sei denn, es ist wirklich notwendig und zu ihrem, zu ihrem eigenen Besten.","Certo, è, è una delle ultime cose al mondo che vorresti mai fare. A meno che non sia davvero e, per il loro, per il loro stesso bene.","Samozřejmě, je to to poslední, co bys na světě chtěl dělat. Pokud to ale není opravdu... a pro jejich vlastní dobro.",طبعاً، إنه من آخر الأشياء التي قد يرغب المرء في فعلها في العالم، إلا إذا كان ذلك حقاً لمصلحتهم الخاصة.
sw2005,B,4,"I'd be very very careful checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke, about, eight months ago.","I'd be very very careful _and_ _, _ _uh_ _, _ _you_ _know_ _, _ checking them out. _Uh_, our, had t-, place my mother in a nursing home. She had a rather massive stroke _about_ _, _ _uh_, about _uh_, eight months ago _I_ _guess_.",True,2,4,2,"I'd be very very careful and, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, about, eight months ago.","I'd be very very careful uh checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke uh, about uh, eight months ago.","I'd be very very careful, you know, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke, about, eight months ago I guess.","I'd be very very careful and, uh checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, uh, about uh, eight months ago.","I'd be very very careful uh, you know, checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke uh, about uh, eight months ago I guess.","I'd be very very careful and, you know, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, about, eight months ago I guess.","I'd be very very careful and, uh, you know, checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, uh, about uh, eight months ago I guess.",在考察养老院的时候，我会非常非常小心。因为我曾不得不把我妈妈送进养老院。她大约八个月前中风了，而且是重度中风。,"Fui muy, muy cuidadoso/a al investigarlos, y tuvimos que internar a mi madre en una residencia de ancianos. Ella tuvo un derrame cerebral bastante masivo hace unos ocho meses.","मैं बहुत, बहुत सावधान रहती और उनकी जाँच करती। हमें अपनी माँ को एक नर्सिंग होम में रखना पड़ा था। उन्हें लगभग आठ महीने पहले एक काफी गंभीर स्ट्रोक आया था।","Je serais très très prudent. Et, après les avoir vérifiés, j'ai dû placer ma mère dans une maison de retraite. Elle a eu un AVC assez massif il y a environ huit mois.","Ich wäre sehr, sehr vorsichtig und würde alles genau prüfen, denn ich musste meine Mutter in einem Pflegeheim unterbringen. Sie hatte vor ungefähr acht Monaten einen ziemlich schweren Schlaganfall.","Sarei molto, molto attento e, dopo aver fatto i controlli, abbiamo dovuto mettere mia madre in una casa di riposo. Ha avuto un ictus piuttosto massiccio circa, circa otto mesi fa.","Byla bych velmi, velmi opatrná, a, při jejich prověřování... No, musela jsem umístit svou matku do domova pro seniory. Prodělala poměrně masivní mrtvici asi, asi před osmi měsíci.",كنت سأكون حذرًا جدًا جدًا عند فحصهم، فقد اضطررنا إلى وضع والدتي في دار رعاية للمسنين. لقد أصيبت بجلطة دماغية شديدة جدًا قبل حوالي ثمانية أشهر.
sw2005,B,8,"So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. we didn't have six months to check all of these places out. And it was really not very good, deal.","So, I was very comfortable _, _ _you_ _know_ _, _ in doing it when it got to the point that we had to do it. But there's, _well_, I had an occasion for my mother-in-law who had fell and _needed_ _to_ _be_ _, _ _you_ _know_ _, _ could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. _Uh_, it had to be done in a hurry. _I_ _mean_ _, _ we didn't have _, _ _you_ _know_ _, _ _like_ six months to check all of these places out. And it was really _not_ _, _ not very good, _uh_, deal.",True,2,4,4,"So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and needed to be, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. we didn't have six months to check all of these places out. And it was really not, not very good, deal.","So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. we didn't have like six months to check all of these places out. And it was really not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. I mean, we didn't have, you know, six months to check all of these places out. And it was really not very good, deal.","So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and needed to be, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. we didn't have like six months to check all of these places out. And it was really not, not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. I mean, we didn't have, you know, like six months to check all of these places out. And it was really not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and needed to be, you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. I mean, we didn't have, you know, six months to check all of these places out. And it was really not, not very good, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and needed to be, you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. I mean, we didn't have, you know, like six months to check all of these places out. And it was really not, not very good, uh, deal.",所以，当我们必须这样做时，我能够非常从容地应对。但我婆婆有一次，她摔倒了，再也无法照顾自己，当时我们不得不把她送到养老院住了一段时间。那真不是一个很好的体验。我们必须仓促做出决定，没有六个月的时间去考察所有这些地方。最终的结果真不怎么样。,,"तो, मैं इसे करने में बहुत सहज था जब बात उस मुकाम पर आ गई कि हमें यह करना ही पड़ा। लेकिन एक बार ऐसा हुआ, मेरी सास गिर गई थीं और अब अपनी देखभाल नहीं कर सकती थीं, उन्हें कुछ समय के लिए एक नर्सिंग होम में रहना पड़ा, जो वास्तव में एक बहुत अच्छा अनुभव नहीं था। यह सब जल्दी में करना पड़ा। हमारे पास इन सभी जगहों की जांच करने के लिए छह महीने का समय नहीं था। और यह वास्तव में कोई बहुत अच्छा अनुभव नहीं था।","Donc, j'étais très à l'aise de le faire quand on en est arrivé au point où il fallait le faire. Mais, j'ai eu le cas de ma belle-mère qui est tombée et ne pouvait plus s'occuper d'elle-même. Elle a dû être placée dans une maison de retraite pendant un certain temps, ce qui n'a vraiment pas été une très bonne expérience. Il a fallu le faire à la hâte. Nous n'avions pas six mois pour visiter tous ces endroits. Et ce n'était vraiment pas, pas une très bonne affaire.","Also, ich habe mich sehr wohl dabei gefühlt, es zu tun, als es soweit war, dass wir es tun mussten. Aber ich hatte einen Fall mit meiner Schwiegermutter, die gestürzt war und sich nicht mehr selbst versorgen konnte. Sie musste dann für eine Weile in ein Pflegeheim, was wirklich keine gute Erfahrung war. Es musste alles sehr schnell gehen. Wir hatten keine sechs Monate Zeit, um all diese Einrichtungen zu überprüfen. Und es war wirklich keine... keine sehr gute Sache.","Quindi, mi sentivo molto a mio agio nel farlo quando è arrivato il momento di farlo. Ma c'è stato un caso con mia suocera che era caduta e non poteva più prendersi cura di sé; è stata ricoverata in una casa di riposo per un po', e quella non è stata davvero una bella esperienza, abbiamo dovuto farlo in fretta. Non avevamo sei mesi per controllare tutti questi posti. E non è stata davvero... non è stata una bella faccenda.","Takže jsem s tím neměl problém, když už to bylo potřeba udělat. Ale pak tu byl případ mé tchýně, která spadla a už se o sebe nemohla starat. Byla na nějakou dobu umístěna do domova pro seniory, což nebyla zrovna dobrá zkušenost, muselo se to udělat ve spěchu. Neměli jsme šest měsíců na to, abychom si všechna ta místa prověřili. A nebylo to zrovna nic moc.","إليك الترجمة العربية:

""لذا، كنت مرتاحًا جدًا في فعل ذلك عندما وصل الأمر إلى النقطة التي كان علينا القيام بها. ولكن، كانت لدي مناسبة تخص حماتي التي سقطت وكانت بحاجة إلى، لم تعد تستطع الاعتناء بنفسها بعد الآن، وتم إيداعها في دار رعاية للمسنين لفترة، وكانت تلك تجربة ليست جيدة جدًا، وكان يجب القيام بذلك على عجل. لم يكن لدينا ستة أشهر لتفحص كل هذه الأماكن. ولم تكن في الحقيقة، صفقة جيدة جدًا."""
sw2005,B,14,"is there something else we could have done in checking out all the places that, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","_You_ _know_ _, _ is there something else we could have done _, _ _you_ _know_ _, _ in checking out all the places that, _uh_, might be available. Of course _, _ _you_ _know_ _, _ there's not one on every corner, especially _, _ _you_ _know_ _, _ smaller areas, smaller towns.",True,0,1,4,"is there something else we could have done in checking out all the places that, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","is there something else we could have done in checking out all the places that, uh, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","is there something else we could have done in checking out all the places that, uh, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, uh, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, uh, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.",有没有什么别的办法，可以查看所有可能有的地方呢？当然，不是每个街角都会有一个的，尤其是在一些小区域、小城镇里。,"¿Hay algo más que podríamos haber hecho al revisar todos los lugares que podrían estar disponibles? Claro que no hay uno en cada esquina, especialmente en zonas más pequeñas, pueblos pequeños.","क्या हम सभी संभावित उपलब्ध जगहों का पता लगाने में कुछ और कर सकते थे? ज़ाहिर है, हर नुक्कड़ पर एक नहीं होती, खासकर छोटे इलाकों और छोटे कस्बों में।","Y a-t-il autre chose que nous aurions pu faire en examinant tous les endroits qui pourraient être disponibles ? Bien sûr, il n'y en a pas à chaque coin de rue, surtout dans les zones et les villes plus petites.","Hätten wir noch etwas anderes tun können, um alle verfügbaren Orte ausfindig zu machen? Natürlich gibt es nicht an jeder Ecke einen, besonders in kleineren Gegenden, kleineren Städten.","C'è qualcos'altro che avremmo potuto fare nel controllare tutti i posti che potrebbero essere disponibili? Certo, non ce n'è uno ad ogni angolo, specialmente nelle aree più piccole, nei paesi più piccoli.","Co jiného jsme mohli udělat při prověřování všech míst, která by mohla být k dispozici? Samozřejmě, že jich není na každém rohu, zvláště v menších oblastech a městech.",هل كان بإمكاننا أن نفعل شيئًا آخر عند التحقق من جميع الأماكن التي قد تكون متاحة؟ بالطبع، لا يوجد مكان في كل زاوية، خاصة في المناطق والبلدات الأصغر.
sw2005,A,19,"Probably the hardest thing in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","_Uh-huh_ _. _ _Yeah_ _. _ Probably the hardest thing _in_ _, _ in my family, _uh_, my grandmother, she had to be put in a nursing home and, _um_, she had used the walker _for_ _, _ for quite some time, probably about six to nine months. And, _um_, she had a fall and, _uh_, finally, _uh_, she had Parkinson's disease,",True,2,7,0,"Probably the hardest thing in, in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for, for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Probably the hardest thing in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in, in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for, for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Probably the hardest thing in, in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for, for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in, in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for, for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,",可能对我们家来说最艰难的事情，就是我的奶奶/外婆不得不被送进养老院。她已经使用助行器很长一段时间了，大概有六到九个月。她还摔倒过一次，最后被诊断出患有帕金森病。,"Probablemente lo más difícil en mi familia fue que mi abuela tuvo que ser ingresada en una residencia de mayores. Ella había usado el andador durante bastante tiempo, probablemente entre seis y nueve meses. Y se cayó, y finalmente, tenía la enfermedad de Parkinson.","मेरे परिवार के लिए शायद सबसे मुश्किल बात ये थी कि मेरी दादी को नर्सिंग होम में रखना पड़ा। वह काफी समय से, शायद लगभग छह से नौ महीने से, वॉकर का इस्तेमाल कर रही थीं। और फिर वह गिर गईं, और आखिरकार, उन्हें पार्किंसंस की बीमारी थी।","Probablement la chose la plus difficile dans ma famille, c'est ma grand-mère qui a dû être placée en maison de retraite. Et, elle utilisait un déambulateur depuis un bon moment, probablement six à neuf mois. Et, elle a fait une chute et, finalement, elle avait la maladie de Parkinson.","Das Schwierigste für unsere Familie war wahrscheinlich, dass meine Großmutter in ein Pflegeheim kam. Sie hatte schon seit längerer Zeit, wahrscheinlich seit etwa sechs bis neun Monaten, einen Rollator benutzt. Und sie stürzte, und schließlich hatte sie Parkinson.","Probabilmente la cosa più difficile nella mia famiglia, mia nonna è stata ricoverata in una casa di riposo e, aveva usato il deambulatore per, per parecchio tempo, probabilmente circa sei o nove mesi. E, è caduta e, alla fine, aveva il morbo di Parkinson.","Pravděpodobně nejtěžší věc v, v mé rodině, moje babička, musela být umístěna do domova pro seniory a, používala chodítko už, už docela dlouho, asi šest až devět měsíců. A, upadla a, nakonec, měla Parkinsonovu chorobu,",ربما كان أصعب شيء في عائلتي، جدتي، اضطررنا لوضعها في دار رعاية المسنين. وقد كانت تستخدم المشاية لفترة طويلة، ربما لحوالي ستة إلى تسعة أشهر. ثم سقطت، وأخيرًا، كانت مصابة بمرض باركنسون.
sw2005,A,29,she had children all across the United States,"_I_ _mean_ _, _ _she_ _tr-_ _, _ _she_ _had_ _, _ she had children all across the United States",True,2,0,1,"she tr-, she had, she had children all across the United States",she had children all across the United States,"I mean, she had children all across the United States","she tr-, she had, she had children all across the United States","I mean, she had children all across the United States","I mean, she tr-, she had, she had children all across the United States","I mean, she tr-, she had, she had children all across the United States",她在美国各地都有孩子。,Ella tuvo hijos por todos los Estados Unidos.,उसके संयुक्त राज्य भर में बच्चे थे।,Elle avait des enfants partout aux États-Unis.,Sie hatte Kinder überall in den Vereinigten Staaten.,Lei aveva figli in tutti gli Stati Uniti.,Měla děti po celých Spojených státech.,كان لديها أطفال في جميع أنحاء الولايات المتحدة.
sw2005,A,37,"for somebody who for most of their life has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","_Yeah_ _. _ _I_ _mean_ _, _ for somebody who _is_ _, _ _you_ _know_ _, _ for most of their life _has_ _, _ has, _uh_, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.",True,2,2,2,"for somebody who is, for most of their life has, has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. for somebody who for most of their life has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","I mean, for somebody who you know, for most of their life has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. for somebody who is, for most of their life has, has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. I mean, for somebody who you know, for most of their life has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","I mean, for somebody who is, you know, for most of their life has, has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. I mean, for somebody who is, you know, for most of their life has, has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.",对于一个在她人生中的大部分时间里，不仅仅是经营着农场，更是养育了十个孩子的人来说，她还要操持着农场和家里的一切事务，因为她的丈夫在煤矿工作，常年不在家。,"Para alguien que, durante la mayor parte de su vida, no solo tuvo una granja, sino que además tuvo diez hijos y se encargó de todo, porque su esposo estaba ausente en las minas de carbón.","किसी ऐसे व्यक्ति के लिए जिसने अपने जीवन के अधिकांश समय तक, सिर्फ़ एक खेत का ही काम नहीं संभाला, बल्कि दस बच्चे पाले, खेत और घर का सारा काम भी संभाला, क्योंकि उसका पति कोयले की खदानों में काम करने के लिए बाहर रहता था।","Pour quelqu'un qui, pendant la majeure partie de sa vie, n'avait pas simplement une ferme, mais avait aussi dix enfants, et gérait tout, parce que son mari travaillait loin dans les mines de charbon.","Für jemanden, die die meiste Zeit ihres Lebens nicht nur einfach einen Bauernhof hatte, sondern einen Bauernhof mit zehn Kindern führte und alles leitete, weil ihr Mann in den Kohleminen war.","Per una persona che, per la maggior parte della sua vita, non solo ha avuto una fattoria, ma ha avuto dieci figli, e gestiva tutto perché suo marito era via nelle miniere di carbone.

**Alternatively, with slightly different verb choices for ""had a farm"" and ""had ten children"":**

Per una persona che, per la maggior parte della sua vita, non solo gestiva una fattoria ma aveva anche dieci figli, e si occupava di tutto perché suo marito era via nelle miniere di carbone.","Pro někoho, kdo po většinu svého života nejenom hospodařil na farmě, ale měl i deset dětí a staral se o všechno, protože její manžel byl v uhelných dolech.",لشخصٍ قضت معظم حياتها، لم تكن مجرد تدير مزرعة، بل أنجبت عشرة أطفال وهي تدير المزرعة، وأدارت كل شيء لأن زوجها كان غائباً في مناجم الفحم.
sw2005,A,47,"I think that they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that _they_ _, _ they had a great deal of, _um_, all the brothers and sisters got together and they actually had a conference.",True,1,1,0,"I think that they, they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.",我认为他们所有的兄弟姐妹都聚在一起，而且他们真的举行了一次会议。,Creo que se juntaron todos los hermanos y hermanas y de hecho tuvieron una conferencia.,"मुझे लगता है कि जब सभी भाई-बहन एक साथ आए और उन्होंने सचमुच एक सम्मेलन किया, तो यह एक बहुत बड़ी बात थी।",Je pense que tous les frères et sœurs se sont réunis et qu'ils ont effectivement tenu une conférence.,"Ich glaube, dass alle Brüder und Schwestern zusammenkamen und tatsächlich eine Konferenz abhielten.","Penso che loro, che abbiano fatto molto, che tutti i fratelli e le sorelle si siano riuniti e abbiano effettivamente tenuto una conferenza.","Myslím, že jich bylo hodně, že se sešli všichni bratři a sestry a skutečně uspořádali konferenci.",أعتقد أنهم، لقد اجتمع كل الإخوة والأخوات، وعقدوا مؤتمرًا بالفعل.
sw2005,A,55,"whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","_You_ _know_ _, _ whether it was just _, _ _you_ _know_ _, _ giving money or whether it was actually taking part in a lot, of the decision making _, _ _you_ _know_ _, _ like finding a proper nursing home.",True,0,0,3,"whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.",是单纯出钱，还是真正参与了很多决策，比如寻找合适的养老院。,"Ya fuera simplemente dar dinero o que realmente participara en buena parte de la toma de decisiones, como encontrar una residencia de ancianos adecuada.","चाहे वह सिर्फ पैसे देना हो या फिर वास्तव में बहुत सारे फैसले लेने में हिस्सा लेना हो, जैसे कि एक सही नर्सिंग होम ढूंढना।","Que ce soit juste donner de l'argent ou que ce soit en fait prendre part à une grande partie de la prise de décision, comme trouver une maison de retraite appropriée.","Ob es nur darum ging, Geld zu geben, oder ob es tatsächlich darum ging, an einem Großteil der Entscheidungsfindung teilzunehmen, wie zum Beispiel ein geeignetes Pflegeheim zu finden.","Che si trattasse solo di dare soldi o che si trattasse in realtà di prendere parte a gran parte del processo decisionale, come trovare una casa di riposo adeguata.","Zda šlo jen o dávání peněz, nebo zda se skutečně podílelo na velké části rozhodování, jako například najít vhodný domov důchodců.",سواء كان الأمر مجرد دفع المال، أو ما إذا كان يشارك فعلياً في الكثير من عملية اتخاذ القرار، مثل إيجاد دار رعاية مناسبة للمسنين.
sw2005,A,65,"so, it, I truly wish that if something like that were to happen that my children would do something like, that for me.","_So_ _, _ so, _I_ _mean_ _, _ it, _I_ _mean_ _, _ _I_ _, _ _I_ _, _ _I_ _, _ _I_ _har-_ _, _ _I_ _, _ I truly wish that if something like that were to happen that my children would do something like, that for me.",True,6,0,2,"So, so, it, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, it, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, I mean, it, I mean, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, it, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, I mean, it, I mean, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, I mean, it, I mean, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, I mean, it, I mean, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.",我，我，我，我真的希望，如果真的发生那样的事，我的孩子们也能那样为我做。,"Pues, yo de verdad quisiera que si algo así sucediera, mis hijos harían algo así por mí.","मैं सच में चाहता हूँ कि अगर ऐसा कुछ हो, तो मेरे बच्चे मेरे लिए ऐसा कुछ करें।","Je souhaite vraiment que si quelque chose comme ça devait arriver, mes enfants fassent la même chose pour moi.","Also, ich wünsche mir wirklich, dass, wenn so etwas passieren würde, meine Kinder so etwas für mich tun würden.","""Quindi, quindi, io, io, io, io spero, io, io spero vivamente che se succedesse una cosa del genere, i miei figli farebbero una cosa del genere per me.""","Takže, takže, já... já, já, já, já... já si opravdu přeji, že kdyby se něco takového stalo, tak aby pro mě mé děti udělaly něco takového.",أتمنى من كل قلبي لو حدث شيء كهذا أن يفعل أبنائي شيئاً كهذا من أجلي.
