w_d,w_t,w_g,gt_mask,pred_mask,tp_mask,tn_mask,fp_mask,fn_mask
well,INTJ,well,1,0,0,0,0,1
i,NONE,i,0,0,0,1,0,0
mostly,NONE,mostly,0,0,0,1,0,0
listen,NONE,listen,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
popular,NONE,popular,0,0,0,1,0,0
music,NONE,music,0,0,0,1,0,0
i,NONE,i,0,0,0,1,0,0
uh,INTJ,,1,1,1,0,0,0
listen,NONE,listen,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
it,NONE,it,0,0,0,1,0,0
all,NONE,all,0,0,0,1,0,0
the,NONE,the,0,0,0,1,0,0
time,NONE,time,0,0,0,1,0,0
in,EDITED,,1,1,1,0,0,0
in,NONE,in,0,0,0,1,0,0
my,NONE,my,0,0,0,1,0,0
car,NONE,car,0,0,0,1,0,0
so,NONE,so,0,0,0,1,0,0
i,EDITED,,1,1,1,0,0,0
i,NONE,i,0,0,0,1,0,0
tend,NONE,tend,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
be,NONE,be,0,0,0,1,0,0
one,NONE,one,0,0,0,1,0,0
of,NONE,of,0,0,0,1,0,0
those,NONE,those,0,0,0,1,0,0
people,NONE,people,0,0,0,1,0,0
who,NONE,who,0,0,0,1,0,0
switches,NONE,switches,0,0,0,1,0,0
stations,NONE,stations,0,0,0,1,0,0
a,NONE,a,0,0,0,1,0,0
lot,NONE,lot,0,0,0,1,0,0
because,NONE,because,0,0,0,1,0,0
i,NONE,i,0,0,0,1,0,0
do,NONE,do,0,0,0,1,0,0
n't,NONE,n't,0,0,0,1,0,0
like,NONE,like,0,0,0,1,0,0
commercials,NONE,commercials,0,0,0,1,0,0
but,NONE,but,0,0,0,1,0,0
uh,INTJ,,1,1,1,0,0,0
i,NONE,i,0,0,0,1,0,0
find,NONE,find,0,0,0,1,0,0
myself,NONE,myself,0,0,0,1,0,0
listening,NONE,listening,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
popular,NONE,popular,0,0,0,1,0,0
music,NONE,music,0,0,0,1,0,0
