w_d,w_t,w_g,gt_mask,pred_mask,tp_mask,tn_mask,fp_mask,fn_mask
but,NONE,but,0,0,0,1,0,0
then,NONE,then,0,0,0,1,0,0
if,NONE,if,0,0,0,1,0,0
it,NONE,it,0,0,0,1,0,0
turns,NONE,turns,0,0,0,1,0,0
out,NONE,out,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
generate,NONE,generate,0,0,0,1,0,0
incorrect,NONE,incorrect,0,0,0,1,0,0
things,NONE,things,0,0,0,1,0,0
that,NONE,that,0,0,0,1,0,0
's,NONE,'s,0,0,0,1,0,0
even,NONE,even,0,0,0,1,0,0
worse,NONE,worse,0,0,0,1,0,0
so,EDITED,,1,1,1,0,0,0
or,NONE,,0,1,0,0,1,0
if,NONE,,0,1,0,0,1,0
my,NONE,,0,1,0,0,1,0
call,NONE,,0,1,0,0,1,0
rate,NONE,,0,1,0,0,1,0
of,EDITED,,1,1,1,0,0,0
of,NONE,,0,1,0,0,1,0
eight,NONE,,0,1,0,0,1,0
t-,EDITED,,1,1,1,0,0,0
or,NONE,,0,1,0,0,1,0
so,NONE,,0,1,0,0,1,0
a,NONE,,0,1,0,0,1,0
week,NONE,,0,1,0,0,1,0
went,NONE,,0,1,0,0,1,0
up,NONE,,0,1,0,0,1,0
even,NONE,,0,1,0,0,1,0
higher,NONE,,0,1,0,0,1,0
because,NONE,,0,1,0,0,1,0
uh,INTJ,,1,1,1,0,0,0
someone,NONE,,0,1,0,0,1,0
had,EDITED,,1,1,1,0,0,0
had,NONE,,0,1,0,0,1,0
