w_d,w_t,w_g,gt_mask,pred_mask,tp_mask,tn_mask,fp_mask,fn_mask
i,EDITED,,1,1,1,0,0,0
think,EDITED,,1,1,1,0,0,0
that,EDITED,,1,1,1,0,0,0
i,NONE,i,0,0,0,1,0,0
think,NONE,think,0,0,0,1,0,0
he,NONE,,0,1,0,0,1,0
really,NONE,,0,1,0,0,1,0
his,NONE,his,0,0,0,1,0,0
heart,NONE,heart,0,0,0,1,0,0
was,NONE,was,0,0,0,1,0,0
in,NONE,in,0,0,0,1,0,0
it,NONE,it,0,0,0,1,0,0
but,NONE,but,0,0,0,1,0,0
i,EDITED,,1,1,1,0,0,0
i,NONE,i,0,0,0,1,0,0
do,NONE,do,0,0,0,1,0,0
n't,NONE,n't,0,0,0,1,0,0
think,NONE,think,0,0,0,1,0,0
he,NONE,he,0,0,0,1,0,0
really,NONE,really,0,0,0,1,0,0
knew,NONE,knew,0,0,0,1,0,0
it,NONE,it,0,0,0,1,0,0
was,NONE,was,0,0,0,1,0,0
going,NONE,going,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
be,NONE,be,0,0,0,1,0,0
as,NONE,as,0,0,0,1,0,0
big,NONE,big,0,0,0,1,0,0
as,NONE,as,0,0,0,1,0,0
it,NONE,it,0,0,0,1,0,0
was,NONE,was,0,0,0,1,0,0
i,NONE,i,0,0,0,1,0,0
think,NONE,think,0,0,0,1,0,0
it,NONE,it,0,0,0,1,0,0
was,NONE,was,0,0,0,1,0,0
something,NONE,something,0,0,0,1,0,0
that,NONE,that,0,0,0,1,0,0
he,NONE,he,0,0,0,1,0,0
really,NONE,really,0,0,0,1,0,0
wanted,NONE,wanted,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
do,NONE,do,0,0,0,1,0,0
he,NONE,he,0,0,0,1,0,0
wanted,NONE,wanted,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
direct,NONE,direct,0,0,0,1,0,0
it,NONE,it,0,0,0,1,0,0
he,NONE,he,0,0,0,1,0,0
wanted,NONE,wanted,0,0,0,1,0,0
to,EDITED,,1,1,1,0,0,0
to,NONE,to,0,0,0,1,0,0
star,NONE,star,0,0,0,1,0,0
in,NONE,in,0,0,0,1,0,0
it,NONE,it,0,0,0,1,0,0
you,PRN,,1,1,1,0,0,0
know,PRN,,1,1,1,0,0,0
he,EDITED,,1,1,1,0,0,0
he,NONE,he,0,0,0,1,0,0
enjoyed,NONE,enjoyed,0,0,0,1,0,0
the,NONE,the,0,0,0,1,0,0
story,NONE,,0,1,0,0,1,0
line,NONE,,0,1,0,0,1,0
,,storyline,*,*,*,*,*,*
and,NONE,and,0,0,0,1,0,0
i,NONE,i,0,0,0,1,0,0
think,NONE,think,0,0,0,1,0,0
he,EDITED,,1,1,1,0,0,0
just,EDITED,,1,1,1,0,0,0
really,EDITED,,1,1,1,0,0,0
w-,EDITED,,1,1,1,0,0,0
he,NONE,he,0,0,0,1,0,0
really,NONE,really,0,0,0,1,0,0
wanted,NONE,wanted,0,0,0,1,0,0
it,NONE,it,0,0,0,1,0,0
and,NONE,,0,1,0,0,1,0
whether,EDITED,,1,1,1,0,0,0
it,EDITED,,1,1,1,0,0,0
whether,NONE,whether,0,0,0,1,0,0
it,NONE,it,0,0,0,1,0,0
won,NONE,won,0,0,0,1,0,0
all,NONE,all,0,0,0,1,0,0
kinds,NONE,kinds,0,0,0,1,0,0
of,NONE,of,0,0,0,1,0,0
awards,NONE,awards,0,0,0,1,0,0
or,NONE,or,0,0,0,1,0,0
whether,NONE,whether,0,0,0,1,0,0
it,NONE,it,0,0,0,1,0,0
just,NONE,just,0,0,0,1,0,0
was,NONE,was,0,0,0,1,0,0
okay,NONE,okay,0,0,0,1,0,0
at,NONE,at,0,0,0,1,0,0
the,NONE,the,0,0,0,1,0,0
box,NONE,box,0,0,0,1,0,0
office,NONE,office,0,0,0,1,0,0
i,NONE,i,0,0,0,1,0,0
think,NONE,think,0,0,0,1,0,0
he,NONE,he,0,0,0,1,0,0
would,NONE,would,0,0,0,1,0,0
have,NONE,have,0,0,0,1,0,0
been,NONE,been,0,0,0,1,0,0
happy,NONE,happy,0,0,0,1,0,0
because,NONE,because,0,0,0,1,0,0
i,EDITED,,1,1,1,0,0,0
think,EDITED,,1,1,1,0,0,0
that,EDITED,,1,1,1,0,0,0
i,NONE,i,0,0,0,1,0,0
think,NONE,think,0,0,0,1,0,0
he,NONE,he,0,0,0,1,0,0
did,NONE,did,0,0,0,1,0,0
a,NONE,a,0,0,0,1,0,0
good,NONE,good,0,0,0,1,0,0
job,NONE,job,0,0,0,1,0,0
and,EDITED,and,1,0,0,0,0,1
and,EDITED,,1,1,1,0,0,0
the,NONE,the,0,0,0,1,0,0
self-satisfaction,NONE,self-satisfaction,0,0,0,1,0,0
he,NONE,he,0,0,0,1,0,0
got,NONE,got,0,0,0,1,0,0
out,NONE,out,0,0,0,1,0,0
of,NONE,of,0,0,0,1,0,0
it,NONE,it,0,0,0,1,0,0
is,NONE,is,0,0,0,1,0,0
much,NONE,much,0,0,0,1,0,0
greater,NONE,greater,0,0,0,1,0,0
than,NONE,than,0,0,0,1,0,0
any,NONE,any,0,0,0,1,0,0
awards,NONE,awards,0,0,0,1,0,0
that,NONE,that,0,0,0,1,0,0
they,NONE,they,0,0,0,1,0,0
can,NONE,can,0,0,0,1,0,0
give,NONE,give,0,0,0,1,0,0
him,NONE,him,0,0,0,1,0,0
