file,speaker,turn,text_fluent,text_disfluent,keep,edited_count,intj_count,prn_count,edited_nodes_only,intj_only,prn_only,edited_intj,intj_prn,edited_prn,edited_prn_intj,ZH_gemini-2.5-flash,ES_gemini-2.5-flash,HI_gemini-2.5-flash,FR_gemini-2.5-flash,DE_gemini-2.5-flash,IT_gemini-2.5-flash,CZ_gemini-2.5-flash,AR_gemini-2.5-flash
sw2005,B,2,"of course, it's one of the last few things in the world you'd ever want to do Unless it's just really, for their own good.","_Well_, of course, _it_ _'s_ _, _ _you_ _know_ _, _ it's one of the last few things in the world you'd ever want to do _, _ _you_ _know_ _. _ Unless it's just _, _ _you_ _know_ _, _ really _, _ _you_ _know_ _, _ _and_, _uh_, _for_ _their_ _, _ _uh_ _, _ _you_ _know_ _, _ for their own good.",True,3,3,5,", of course, it's, it's one of the last few things in the world you'd ever want to do Unless it's just really and, for their, for their own good.","Well, of course, it's one of the last few things in the world you'd ever want to do Unless it's just really, uh, uh for their own good.",", of course, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, you know, for their own good.","Well, of course, it's, it's one of the last few things in the world you'd ever want to do Unless it's just really and, uh, for their, uh for their own good.","Well, of course, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, uh, uh, you know, for their own good.",", of course, it's, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, and, for their, you know, for their own good.","Well, of course, it's, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, and, uh, for their, uh, you know, for their own good.",当然，你知道的，这肯定是你在世界上最不愿意做的事情之一，除非是真的为了他们好。,", claro, sabes, es una de las últimas cosas en el mundo que uno querría hacer, sabes. A menos que sea, sabes, de verdad, por su propio bien.","ज़ाहिर है, आपको पता है, ये दुनिया की उन आख़िरी चीज़ों में से एक है जिसे आप कभी करना नहीं चाहेंगे, आपको पता है। जब तक कि ये सिर्फ़, आपको पता है, सच में, उनकी अपनी भलाई के लिए न हो।","Bien sûr, c'est la dernière chose au monde que tu voudrais faire, à moins que ce ne soit vraiment pour leur propre bien.","Na klar, weißt du, das ist eines der letzten Dinge auf der Welt, die man jemals tun möchte, weißt du. Es sei denn, es ist halt, weißt du, wirklich, äh, zu ihrem eigenen Besten.","Certo, sai, è una delle ultime cose al mondo che vorresti mai fare, sai. A meno che non sia solo, sai, davvero, per il loro stesso bene.",", samozřejmě, víte, je to jedna z posledních věcí na světě, kterou byste kdy chtěli udělat, víte. Ledaže je to prostě, víte, opravdu, pro jejich vlastní dobro.",بالتأكيد، هذا آخر شيء قد ترغب بفعله في العالم. إلا إذا كان الأمر فقط، حقاً، لمصلحتهم.
sw2005,B,4,"I'd be very very careful checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke, about, eight months ago.","I'd be very very careful _and_ _, _ _uh_ _, _ _you_ _know_ _, _ checking them out. _Uh_, our, had t-, place my mother in a nursing home. She had a rather massive stroke _about_ _, _ _uh_, about _uh_, eight months ago _I_ _guess_.",True,2,4,2,"I'd be very very careful and, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, about, eight months ago.","I'd be very very careful uh checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke uh, about uh, eight months ago.","I'd be very very careful, you know, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke, about, eight months ago I guess.","I'd be very very careful and, uh checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, uh, about uh, eight months ago.","I'd be very very careful uh, you know, checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke uh, about uh, eight months ago I guess.","I'd be very very careful and, you know, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, about, eight months ago I guess.","I'd be very very careful and, uh, you know, checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, uh, about uh, eight months ago I guess.",我会非常非常小心地去考察（养老院），你知道的，因为我不得不把我妈妈送进养老院。她大概八个月前中风了，而且是很严重的那种。,"Tendría muchísimo, muchísimo cuidado, ¿sabes?, al hacer las comprobaciones. Yo tuve que internar a mi madre en una residencia de ancianos. Ella tuvo un derrame cerebral bastante masivo hace unos ocho meses, supongo.","मैं बहुत, बहुत सावधानी बरतता था, आप जानते हैं, उनकी जाँच-पड़ताल करते हुए। हमें अपनी माँ को एक नर्सिंग होम में रखना पड़ा था। उन्हें लगभग आठ महीने पहले एक काफी गंभीर स्ट्रोक आया था, मुझे लगता है।","J'y ferais très, très attention, vous savez, en les vérifiant. Euh, j'ai dû placer ma mère dans une maison de retraite. Elle a eu un AVC assez massif, il y a environ huit mois, je suppose.","Ich wäre da, wissen Sie, sehr, sehr vorsichtig, wenn man sie sich ansieht. Ich musste meine Mutter in einem Pflegeheim unterbringen. Sie hatte einen ziemlich massiven Schlaganfall, vor etwa acht Monaten, glaube ich.","Sarei molto molto attento/a, sai, nel verificarle. Noi, abbiamo dovuto mettere mia madre in una casa di riposo. Ha avuto un ictus piuttosto grave, circa, otto mesi fa, credo.","Byl bych velmi, velmi opatrný, víte, při jejich prověřování. Musel jsem umístit svou matku do domova důchodců. Dostala poměrně masivní mrtvici asi před osmi měsíci, myslím.",سأكون حذرًا جدًا جدًا، كما تعلم، عند التحقق منهم. اضطررتُ إلى إدخال والدتي إلى دار رعاية المسنين. لقد أصيبت بجلطة دماغية هائلة نوعًا ما، قبل حوالي ثمانية أشهر، أعتقد.
sw2005,B,8,"So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. we didn't have six months to check all of these places out. And it was really not very good, deal.","So, I was very comfortable _, _ _you_ _know_ _, _ in doing it when it got to the point that we had to do it. But there's, _well_, I had an occasion for my mother-in-law who had fell and _needed_ _to_ _be_ _, _ _you_ _know_ _, _ could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. _Uh_, it had to be done in a hurry. _I_ _mean_ _, _ we didn't have _, _ _you_ _know_ _, _ _like_ six months to check all of these places out. And it was really _not_ _, _ not very good, _uh_, deal.",True,2,4,4,"So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and needed to be, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. we didn't have six months to check all of these places out. And it was really not, not very good, deal.","So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. we didn't have like six months to check all of these places out. And it was really not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. I mean, we didn't have, you know, six months to check all of these places out. And it was really not very good, deal.","So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and needed to be, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. we didn't have like six months to check all of these places out. And it was really not, not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. I mean, we didn't have, you know, like six months to check all of these places out. And it was really not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and needed to be, you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. I mean, we didn't have, you know, six months to check all of these places out. And it was really not, not very good, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and needed to be, you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. I mean, we didn't have, you know, like six months to check all of these places out. And it was really not, not very good, uh, deal.",所以，当到了我们不得不做的时候，我心里是很有底的。但是有一次，我婆婆摔倒了，她你知道，已经无法再照顾自己了，所以被送进了养老院住了一段时间。那段经历真的很不好，当时我们必须仓促决定。我的意思是，我们没有，你知道，六个月的时间去考察所有的这些地方。而且那次经历真的不尽人意。,"Así que me sentía muy cómodo, sabes, al hacerlo cuando llegó el momento en que tuvimos que hacerlo. Pero tuve una situación con mi suegra, que se había caído y, sabes, ya no podía cuidarse a sí misma. Fue internada en una residencia de ancianos por un tiempo, lo cual realmente no fue una muy buena experiencia. Hubo que hacerlo deprisa. Es decir, no teníamos, sabes, seis meses para revisar todos estos lugares. Y la verdad es que no fue una muy buena situación.","तो, मैं इसे करने में बहुत सहज थी, जब हमें यह करना पड़ा। लेकिन एक बार मेरी सास के साथ ऐसा हुआ था, जो गिर गई थीं और अपनी देखभाल खुद नहीं कर पा रही थीं, तो उन्हें कुछ समय के लिए नर्सिंग होम में रखना पड़ा था। वह सच में एक बहुत अच्छा अनुभव नहीं था, यह सब जल्दी में करना पड़ा था। मतलब, हमारे पास इन सभी जगहों को देखने के लिए छह महीने नहीं थे। और यह सच में कोई बहुत अच्छी बात नहीं थी।","Alors, j'étais très à l'aise de le faire quand il a fallu le faire. Mais j'ai eu le cas de ma belle-mère qui était tombée et ne pouvait plus s'occuper d'elle-même. Elle a été placée dans une maison de retraite pendant un certain temps, ce qui n'a vraiment pas été une très bonne expérience. Il a fallu le faire à la hâte. Je veux dire, nous n'avions pas six mois pour vérifier tous ces établissements. Et ce n'était vraiment pas une bonne situation.","Also, ich habe mich sehr wohl dabei gefühlt, es zu tun, als es dann soweit war, dass wir es tun mussten. Aber es gab einen Vorfall mit meiner Schwiegermutter, die gestürzt war und sich nicht mehr selbst versorgen konnte. Sie musste dann für eine Weile in ein Pflegeheim, was wirklich keine sehr gute Erfahrung war. Es musste in Eile geschehen. Ich meine, wir hatten ja keine sechs Monate Zeit, um uns all diese Einrichtungen anzusehen. Und das war wirklich keine gute Sache.","Quindi, mi sentivo molto a mio agio nel farlo quando si è arrivati al punto che dovevamo farlo. Ma c'è stato un caso con mia suocera, che era caduta e non poteva più prendersi cura di sé stessa. È stata ricoverata in una casa di riposo per un po', il che non è stata davvero una bella esperienza. Doveva essere fatto in fretta. Voglio dire, non avevamo sei mesi per controllare tutte queste strutture. E non è stata davvero una buona situazione.","Takže jsem se s tím cítil velmi v pohodě, víte, dělat to, když došlo na to, že jsme to museli udělat. Ale nastala situace s mou tchyní, která upadla a víte, už se o sebe nemohla starat, takže byla na nějakou dobu umístěna do domova pro seniory, což opravdu nebyla moc dobrá zkušenost. Muselo se to udělat ve spěchu. Prostě jsme neměli, víte, šest měsíců na to, abychom si všechna ta místa prohlédli. A celé to nebylo nic moc dobrého.",إذًا، كنت مرتاحًا جدًا، كما تعلم، في القيام بذلك عندما وصل الأمر إلى النقطة التي كان علينا القيام بها. ولكن هناك، كانت لدي مناسبة مع حماتي التي سقطت، وكما تعلم، لم تعد تستطيع الاعتناء بنفسها، واقتصرت على دار رعاية للمسنين لفترة، لم تكن تجربة جيدة جدًا، وكان يجب أن يتم الأمر بسرعة. أعني، لم يكن لدينا، كما تعلم، ستة أشهر للتحقق من كل هذه الأماكن. ولم تكن صفقة جيدة جدًا.
sw2005,B,14,"is there something else we could have done in checking out all the places that, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","_You_ _know_ _, _ is there something else we could have done _, _ _you_ _know_ _, _ in checking out all the places that, _uh_, might be available. Of course _, _ _you_ _know_ _, _ there's not one on every corner, especially _, _ _you_ _know_ _, _ smaller areas, smaller towns.",True,0,1,4,"is there something else we could have done in checking out all the places that, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","is there something else we could have done in checking out all the places that, uh, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","is there something else we could have done in checking out all the places that, uh, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, uh, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, uh, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.",我们是不是还能做些别的什么呢？你知道的，在寻找所有可能有的地方的时候。当然了，你知道的，不是每个街角都有一个，尤其是在小地方，小城镇。,"Sabes, ¿podríamos haber hecho algo más, sabes, al revisar todos los lugares que podrían estar disponibles? Claro, sabes, no hay uno en cada esquina, especialmente, sabes, en áreas más pequeñas, pueblos más pequeños.","आपको पता है, क्या हम कुछ और कर सकते थे, उन सभी जगहों की जाँच करने में जो उपलब्ध हो सकती थीं? बेशक, आपको पता है, हर कोने पर ऐसी जगह नहीं मिलती, खासकर छोटे इलाकों, छोटे शहरों (कस्बों) में।","Vous savez, est-ce qu'on aurait pu faire quelque chose d'autre, vous savez, en vérifiant tous les endroits qui pourraient être disponibles. Bien sûr, vous savez, il n'y en a pas à chaque coin de rue, surtout, vous savez, dans les petites zones, les petites villes.","Hätten wir nicht noch etwas tun können, um alle Orte zu prüfen, die infrage kommen könnten? Natürlich gibt es nicht an jeder Ecke einen, besonders in kleineren Gegenden, kleineren Städten.","Sai, c'è qualcos'altro che avremmo potuto fare nel controllare tutti i luoghi che potrebbero essere disponibili? Certo, sai, non ce n'è uno ad ogni angolo, soprattutto, sai, in aree più piccole, cittadine più piccole.","Víte, jestli se nedalo udělat něco jinak, když jsme prověřovali všechna místa, která by mohla být k dispozici? Samozřejmě, že to není na každém rohu, obzvlášť, víte, v menších oblastech, menších městech.",يعني، هل هناك شيء آخر كان بإمكاننا فعله، يعني، في التحقق من كل الأماكن التي قد تكون متاحة؟ طبعاً، يعني، لا توجد واحدة في كل زاوية، خاصةً، يعني، المناطق الأصغر، البلدات الأصغر.
sw2005,A,19,"Probably the hardest thing in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","_Uh-huh_ _. _ _Yeah_ _. _ Probably the hardest thing _in_ _, _ in my family, _uh_, my grandmother, she had to be put in a nursing home and, _um_, she had used the walker _for_ _, _ for quite some time, probably about six to nine months. And, _um_, she had a fall and, _uh_, finally, _uh_, she had Parkinson's disease,",True,2,7,0,"Probably the hardest thing in, in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for, for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Probably the hardest thing in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in, in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for, for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Probably the hardest thing in, in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for, for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in, in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for, for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,",可能我们家最难的一件事，就是我奶奶她被送进了养老院。而且她用助行器也有一段时间了，大概六到九个月。后来她摔倒了，最后，她得了帕金森病。,"Probablemente lo más difícil en mi familia, mi abuela, tuvo que ser internada en una residencia de mayores y, ella había usado el andador por bastante tiempo, probablemente unos seis a nueve meses. Y, tuvo una caída y, finalmente, tenía la enfermedad de Parkinson.","मेरे परिवार में शायद सबसे मुश्किल बात यह थी कि मेरी दादी को नर्सिंग होम में भर्ती कराना पड़ा। वह काफी समय से वॉकर का इस्तेमाल कर रही थीं, शायद लगभग छह से नौ महीने से। और फिर वह एक बार गिर गईं, और आखिरकार उन्हें पार्किंसन रोग हो गया था।","Probablement la chose la plus difficile dans ma famille, ma grand-mère, elle a dû être placée en maison de retraite et, elle utilisait le déambulateur depuis pas mal de temps, probablement environ six à neuf mois. Et, elle a fait une chute et, finalement, elle avait la maladie de Parkinson.","Das wahrscheinlich Härteste in meiner Familie war, dass meine Großmutter in ein Pflegeheim kommen musste. Und sie hatte den Rollator schon länger benutzt, wahrscheinlich etwa sechs bis neun Monate. Und sie ist gestürzt, und schließlich hatte sie Parkinson.","Probabilmente la cosa più difficile per la mia famiglia: mia nonna ha dovuto essere messa in una casa di riposo. Usava il deambulatore già da parecchio tempo, probabilmente da circa sei a nove mesi. E poi è caduta e, infine, aveva il morbo di Parkinson.","Pravděpodobně nejtěžší věc v mé rodině, moje babička, musela být umístěna do pečovatelského domu a ona už nějakou dobu používala chodítko, asi šest až devět měsíců. A měla pád a nakonec měla Parkinsonovu chorobu,",لعل أصعب ما مرّ على عائلتي، هو أن جدتي، اضطررنا لوضعها في دار رعاية للمسنين. وكانت قد استخدمت المشّاية لفترة طويلة، ربما حوالي ستة إلى تسعة أشهر. ثم سقطت، وفي النهاية، اتضح أنها مصابة بمرض باركنسون.
sw2005,A,29,she had children all across the United States,"_I_ _mean_ _, _ _she_ _tr-_ _, _ _she_ _had_ _, _ she had children all across the United States",True,2,0,1,"she tr-, she had, she had children all across the United States",she had children all across the United States,"I mean, she had children all across the United States","she tr-, she had, she had children all across the United States","I mean, she had children all across the United States","I mean, she tr-, she had, she had children all across the United States","I mean, she tr-, she had, she had children all across the United States",我的意思是，她在美国各地都有孩子。,"Es decir, ella tenía hijos por todo Estados Unidos.","मेरा मतलब है, उसके बच्चे पूरे संयुक्त राज्य अमेरिका में थे।","Je veux dire, elle avait des enfants partout aux États-Unis.","Ich meine, sie hatte Kinder überall in den Vereinigten Staaten.","Voglio dire, aveva figli in tutti gli Stati Uniti.","„No, měla děti po celých Spojených státech.“",يعني، كان لديها أطفال في جميع أنحاء الولايات المتحدة.
sw2005,A,37,"for somebody who for most of their life has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","_Yeah_ _. _ _I_ _mean_ _, _ for somebody who _is_ _, _ _you_ _know_ _, _ for most of their life _has_ _, _ has, _uh_, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.",True,2,2,2,"for somebody who is, for most of their life has, has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. for somebody who for most of their life has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","I mean, for somebody who you know, for most of their life has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. for somebody who is, for most of their life has, has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. I mean, for somebody who you know, for most of their life has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","I mean, for somebody who is, you know, for most of their life has, has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. I mean, for somebody who is, you know, for most of their life has, has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.",我的意思是，对于一个人来说，她人生的大半辈子，不仅仅是只经营一个农场，她还生养了十个孩子，而且家里和农场里的一切事情都由她来操持，因为她的丈夫常年在煤矿工作。,"Es decir, para alguien que, durante la mayor parte de su vida, no solo ha tenido una granja, sino que ha tenido diez hijos y, además, se ha encargado de la granja y de todo lo demás, porque su marido estaba fuera en las minas de carbón.","मेरा मतलब है, किसी ऐसे व्यक्ति के लिए जिसने, आप जानते हैं, अपनी ज़िंदगी का ज़्यादातर हिस्सा सिर्फ़ एक खेत चलाने में ही नहीं बिताया, बल्कि दस बच्चों की परवरिश भी की और साथ में खेत भी संभाला। उसने सब कुछ चलाया क्योंकि उसका पति कोयले की खदानों में काम करने के लिए बाहर गया हुआ था।","C'est-à-dire, pour quelqu'un qui, vous savez, pendant la majeure partie de sa vie, n'a pas simplement eu une ferme, mais a eu dix enfants, gérait la ferme et s'occupait de tout, parce que son mari était parti travailler dans les mines de charbon.","Ich meine, für jemanden, der fast ihr ganzes Leben lang nicht nur einen Bauernhof hatte, sondern auch zehn Kinder großzog und alles am Laufen hielt, weil ihr Mann in den Kohleminen arbeitete und deshalb oft nicht da war.","Cioè, per qualcuno che, per la maggior parte della sua vita, non ha avuto solo una fattoria, ma ha avuto dieci figli, e gestiva tutto perché suo marito era via nelle miniere di carbone.","Chci říct, u někoho, kdo většinu svého života nejenže měla farmu, ale vychovávala deset dětí a zároveň se starala o celé hospodářství, protože její manžel byl pryč v uhelných dolech.",أعني، لشخصٍ، كما تعلم، طوال معظم حياتها، لم تكن تمتلك مجرد مزرعة فحسب، بل كان لديها عشرة أطفال وتدير المزرعة وكل شيء بنفسها، لأن زوجها كان بعيداً في مناجم الفحم.
sw2005,A,47,"I think that they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that _they_ _, _ they had a great deal of, _um_, all the brothers and sisters got together and they actually had a conference.",True,1,1,0,"I think that they, they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.",我觉得他们有很多事，所有的兄弟姐妹都聚在一起了，他们还真的开了一个会。,Creo que todos los hermanos y hermanas se reunieron y de hecho tuvieron una conferencia.,"मुझे लगता है कि बहुत कुछ था, सभी भाई-बहन इकट्ठे हुए और उन्होंने वास्तव में एक सम्मेलन आयोजित किया।","Je pense qu'ils ont eu une grande rencontre, tous les frères et sœurs se sont réunis et ils ont effectivement eu une conférence.","Ich denke, dass alle Brüder und Schwestern zu einem großen Treffen zusammenkamen und sie tatsächlich eine Konferenz abhielten.","Penso che fosse una gran cosa, tutti i fratelli e le sorelle si sono riuniti e hanno effettivamente tenuto una conferenza.","Myslím, že měli spoustu... všichni bratři a sestry se sešli a skutečně měli konferenci.",أعتقد أنهم كانوا كثيرين جداً، اجتمع جميع الإخوة والأخوات وعقدوا مؤتمراً بالفعل.
sw2005,A,55,"whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","_You_ _know_ _, _ whether it was just _, _ _you_ _know_ _, _ giving money or whether it was actually taking part in a lot, of the decision making _, _ _you_ _know_ _, _ like finding a proper nursing home.",True,0,0,3,"whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.",无论是仅仅出钱，还是实际参与到很多决策中去，比如说，寻找一个合适的养老院。,"Sabes, ya fuera solo, sabes, dar dinero, o si realmente estaba participando mucho en la toma de decisiones, sabes, como encontrar una residencia de ancianos adecuada.","आप जानते हैं, चाहे वह सिर्फ पैसा देना हो, या वास्तव में बहुत सारे निर्णय लेने में भाग लेना हो, जैसे कि एक उचित नर्सिंग होम ढूँढना।","Voyez, que ce soit juste, vous savez, donner de l'argent, ou que ce soit en fait prendre part à une grande partie de la prise de décision, comme trouver une maison de retraite appropriée.","Weißt du, ob es nur darum ging, Geld zu geben, oder ob man tatsächlich an vielen Entscheidungen mitgewirkt hat, weißt du, wie zum Beispiel bei der Suche nach einem passenden Pflegeheim.","Allora, che si trattasse semplicemente, che ne so, di dare soldi, o che si partecipasse attivamente a gran parte del processo decisionale, sai, come trovare una casa di riposo adeguata.","Víte, jestli šlo jen o dávání peněz, nebo jestli to bylo skutečně podílení se na spoustě rozhodování, třeba jako najít vhodný domov důchodců.",سواء كان الأمر مجرد إعطاء المال، أو ما إذا كانت مشاركة فعلية في كثير من عملية صنع القرار، مثل إيجاد دار رعاية مناسبة.
sw2005,A,65,"so, it, I truly wish that if something like that were to happen that my children would do something like, that for me.","_So_ _, _ so, _I_ _mean_ _, _ it, _I_ _mean_ _, _ _I_ _, _ _I_ _, _ _I_ _, _ _I_ _har-_ _, _ _I_ _, _ I truly wish that if something like that were to happen that my children would do something like, that for me.",True,6,0,2,"So, so, it, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, it, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, I mean, it, I mean, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, it, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, I mean, it, I mean, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, I mean, it, I mean, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, I mean, it, I mean, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.",所以，我的意思是，如果那样的事情发生，我真心希望我的孩子们也会为我做那样的事情。,"Pues, o sea, de verdad me gustaría que si algo así llegara a pasar, mis hijos hicieran algo así por mí.","तो, मेरा मतलब है, मैं सच में चाहती हूँ कि अगर कभी ऐसा कुछ हो, तो मेरे बच्चे भी मेरे लिए ऐसा ही कुछ करें।","Alors, je veux dire, je souhaite vraiment que si quelque chose comme ça devait arriver, mes enfants fassent quelque chose comme ça pour moi.","Ich würde mir wirklich wünschen, dass, sollte so etwas passieren, meine Kinder so etwas für mich tun würden.","Allora, voglio dire, mi auguro davvero che se dovesse succedere una cosa del genere, i miei figli farebbero una cosa del genere per me.","Takže, opravdu bych si přál, aby mé děti pro mě udělaly něco takového, kdyby se něco podobného přihodilo.",أتمنى بصدق أن يفعل أطفالي شيئًا كهذا من أجلي لو حدث أمر كهذا.
