w_d,w_t,w_g,gt_mask,pred_mask,tp_mask,tn_mask,fp_mask,fn_mask
yeah,INTJ,yeah,1,0,0,0,0,1
they,EDITED,,1,1,1,0,0,0
're,EDITED,,1,1,1,0,0,0
they,NONE,they,0,0,0,1,0,0
're,NONE,'re,0,0,0,1,0,0
still,NONE,still,0,0,0,1,0,0
around,NONE,around,0,0,0,1,0,0
they,NONE,they,0,0,0,1,0,0
've,NONE,,0,1,0,0,1,0
got,NONE,got,0,0,0,1,0,0
a,NONE,a,0,0,0,1,0,0
ne-,EDITED,,1,1,1,0,0,0
new,NONE,new,0,0,0,1,0,0
c,NONE,,0,1,0,0,1,0
d,NONE,,0,1,0,0,1,0
,,cd,*,*,*,*,*,*
out,NONE,out,0,0,0,1,0,0
but,NONE,but,0,0,0,1,0,0
i,EDITED,,1,1,1,0,0,0
i,NONE,i,0,0,0,1,0,0
would,NONE,would,0,0,0,1,0,0
n't,NONE,n't,0,0,0,1,0,0
buy,NONE,buy,0,0,0,1,0,0
it,NONE,it,0,0,0,1,0,0
because,NONE,because,0,0,0,1,0,0
see,INTJ,,1,1,1,0,0,0
what,NONE,,0,1,0,0,1,0
happens,NONE,,0,1,0,0,1,0
is,NONE,,0,1,0,0,1,0
the,NONE,,0,1,0,0,1,0
old,NONE,,0,1,0,0,1,0
see,INTJ,,1,1,1,0,0,0
whe-,NONE,,0,1,0,0,1,0
i,EDITED,,1,1,1,0,0,0
like,EDITED,,1,1,1,0,0,0
i,NONE,i,0,0,0,1,0,0
like,NONE,like,0,0,0,1,0,0
the,NONE,the,0,0,0,1,0,0
old,NONE,old,0,0,0,1,0,0
rolling,NONE,rolling,0,0,0,1,0,0
stones,NONE,stones,0,0,0,1,0,0
i,NONE,i,0,0,0,1,0,0
do,NONE,do,0,0,0,1,0,0
n't,NONE,n't,0,0,0,1,0,0
like,NONE,like,0,0,0,1,0,0
the,NONE,the,0,0,0,1,0,0
new,NONE,new,0,0,0,1,0,0
stuff,NONE,stuff,0,0,0,1,0,0
