w_d,w_t,w_g,gt_mask,pred_mask,tp_mask,tn_mask,fp_mask,fn_mask
and,NONE,and,0,0,0,1,0,0
uh,INTJ,,1,1,1,0,0,0
our,EDITED,,1,1,1,0,0,0
our,NONE,our,0,0,0,1,0,0
chemical,NONE,chemical,0,0,0,1,0,0
data,NONE,,0,1,0,0,1,0
base,NONE,,0,1,0,0,1,0
so,NONE,,0,1,0,0,1,0
that,NONE,,0,1,0,0,1,0
we,NONE,,0,1,0,0,1,0
know,NONE,,0,1,0,0,1,0
,,will,*,*,*,*,*,*
,,inherit,*,*,*,*,*,*
,,database,*,*,*,*,*,*
every,NONE,every,0,0,0,1,0,0
chemical,NONE,chemical,0,0,0,1,0,0
on,NONE,,0,1,0,0,1,0
site,NONE,,0,1,0,0,1,0
and,EDITED,,1,1,1,0,0,0
and,NONE,and,0,0,0,1,0,0
um,INTJ,,1,1,1,0,0,0
its,NONE,its,0,0,0,1,0,0
concentration,NONE,concentration,0,0,0,1,0,0
and,NONE,and,0,0,0,1,0,0
if,EDITED,,1,1,1,0,0,0
if,NONE,if,0,0,0,1,0,0
anything,NONE,anything,0,0,0,1,0,0
ever,NONE,ever,0,0,0,1,0,0
happened,NONE,happened,0,0,0,1,0,0
god,PRN,god,1,0,0,0,0,1
forbid,PRN,forbid,1,0,0,0,0,1
you,PRN,you,1,0,0,0,0,1
know,PRN,know,1,0,0,0,0,1
a,NONE,a,0,0,0,1,0,0
building,NONE,building,0,0,0,1,0,0
explosion,NONE,explosion,0,0,0,1,0,0
or,NONE,or,0,0,0,1,0,0
something,NONE,something,0,0,0,1,0,0
tha-,EDITED,,1,1,1,0,0,0
,,like,*,*,*,*,*,*
,,that,*,*,*,*,*,*
we,NONE,we,0,0,0,1,0,0
'd,NONE,'d,0,0,0,1,0,0
be,NONE,be,0,0,0,1,0,0
able,NONE,able,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
track,NONE,track,0,0,0,1,0,0
chemicals,NONE,chemicals,0,0,0,1,0,0
from,NONE,from,0,0,0,1,0,0
that,NONE,that,0,0,0,1,0,0
building,NONE,building,0,0,0,1,0,0
with,NONE,with,0,0,0,1,0,0
our,NONE,our,0,0,0,1,0,0
weather,NONE,,0,1,0,0,1,0
station,NONE,,0,1,0,0,1,0
