file,transcript_standard,transcript_disfluent,audio_id,reference_fluent,reference_disfluent,wer_standard_vs_fluent,s_standard_vs_fluent,d_standard_vs_fluent,i_standard_vs_fluent,s_rate_standard_vs_fluent,d_rate_standard_vs_fluent,i_rate_standard_vs_fluent,ref_words_standard_vs_fluent,wer_disfluent_vs_fluent,s_disfluent_vs_fluent,d_disfluent_vs_fluent,i_disfluent_vs_fluent,s_rate_disfluent_vs_fluent,d_rate_disfluent_vs_fluent,i_rate_disfluent_vs_fluent,ref_words_disfluent_vs_fluent,wer_standard_vs_disfluent,s_standard_vs_disfluent,d_standard_vs_disfluent,i_standard_vs_disfluent,s_rate_standard_vs_disfluent,d_rate_standard_vs_disfluent,i_rate_standard_vs_disfluent,ref_words_standard_vs_disfluent,wer_disfluent_vs_disfluent,s_disfluent_vs_disfluent,d_disfluent_vs_disfluent,i_disfluent_vs_disfluent,s_rate_disfluent_vs_disfluent,d_rate_disfluent_vs_disfluent,i_rate_disfluent_vs_disfluent,ref_words_disfluent_vs_disfluent
sw02005_A_111.wav,"I think for myself, I see that as probably...","I think for myself, I see that as probably what everything...",sw2005_a_111,"I think, for myself I see that as probably what everything would hinge upon.","_I_ _think_ _, _ _I_ _think_ _, _ I think, _you_ _know_ for myself _I_ _, _ I see that as probably _the_ _, _ _the_ _, _ what everything would hinge upon.",0.35714285714285715,0,5,0,0.0,0.35714285714285715,0.0,14,0.21428571428571427,0,3,0,0.0,0.21428571428571427,0.0,14,0.6086956521739131,0,14,0,0.0,0.6086956521739131,0.0,23,0.5217391304347826,0,12,0,0.0,0.5217391304347826,0.0,23
sw02005_A_121.wav,"Yeah. You know, it's interesting that a lot of the population in the United States is changing, because now that so many more minorities, where they have had extended families for such a long time...","You know, it's interesting that a lot of the population in the United States is changing because, you know, now that so many more minorities, where they have had extended families for such a long time",sw2005_a_121,"it's interesting that the population of the United States is changing because, now that so many more minorities, where they have had extended families for such a long time.","_Yeah_ _. _ _You_ _know_ _it_ _'s_ _, _ it's interesting _that_ _, _ that _a_ _lot_ _, _ the population of the United States is changing because _, _ _you_ _know_ _, _ _uh_, now that so many more minorities, where they have had extended families for such a long time.",0.2413793103448276,1,0,6,0.034482758620689655,0.0,0.20689655172413793,29,0.27586206896551724,1,0,7,0.034482758620689655,0.0,0.2413793103448276,29,0.2,1,6,1,0.025,0.15,0.025,40,0.175,1,5,1,0.025,0.125,0.025,40
sw02005_A_127.wav,"But I guess as we become more industrialized and less in a rural situation, we choose not to deal with the extended family because we feel it's kind of cumbersome, when in reality it makes things much...","But I guess as we become more industrialized and less in a rural situation, we choose not to deal with the extended family because we feel it's kind of cumbersome, when in reality, it makes things much...",sw2005_a_127,"But, I guess as we become more industrialized and less in a rural situation we choose not to deal with the, extended family because we feel it's kind of cumbersome, when in reality it makes things much much easier.","But, I guess as we become more industrialized and _more_ _, _ _you_ _know_ _, _ less in a rural situation _we_ _, _ _we_ _do_ _n't_ _, _ _we_ _, _ _we_ _, _ we choose not to deal with the, extended family because we feel it's kind of cumbersome, when in reality it makes things much much easier.",0.05128205128205128,0,2,0,0.0,0.05128205128205128,0.0,39,0.05128205128205128,0,2,0,0.0,0.05128205128205128,0.0,39,0.22916666666666666,0,11,0,0.0,0.22916666666666666,0.0,48,0.22916666666666666,0,11,0,0.0,0.22916666666666666,0.0,48
sw02005_A_147.wav,"Yeah, but I think that I've had a lot of good experiences with many, many people, especially where they've had extended family. And I kind of see that, that perhaps we may need to get close to the family environment and get down to the values.","Yeah, but I think that, you know, we always--I mean I've had a lot of good experiences with many, many people, especially where they've had extended family, and I kind of see that. Perhaps we may need to get close to the family environment and get down to the values.",sw2005_a_147,"But, I think that I've had a lot of good experiences, with many people especially where they've had, extended family. and I kind of see that, perhaps we may need to get close to the family environment and get down to the values of,","_Yeah_ _. _ But, _uh_, _I_ _, _ _I_ _, _ I think that _, _ _you_ _know_ _, _ _we_ _always_ _, _ _uh_ _, _ _I_ _mean_ _, _ _I_ _'ve_ _, _ I've had a lot of good experiences _with_ _, _ _uh_, with _many_ many people especially where they've had, _uh_, extended family. _And_ _I_ _, _ and _I_ _, _ I kind of see _that_ _, _ that, _you_ _know_ _, _ perhaps _, _ _you_ _know_ _, _ we may need to _like_ get close to the family environment _and_ and get down to the values of _, _ _you_ _know_,",0.09090909090909091,0,1,3,0.0,0.022727272727272728,0.06818181818181818,44,0.18181818181818182,0,1,7,0.0,0.022727272727272728,0.1590909090909091,44,0.3698630136986301,0,27,0,0.0,0.3698630136986301,0.0,73,0.3287671232876712,1,23,0,0.0136986301369863,0.3150684931506849,0.0,73
sw02005_A_149.wav,Money seems to be too big of an issue.,"I mean, money seems to be too big of an issue with what's going on today.",sw2005_a_149,"it's, money seems to be too big of an issue. with what's going on today","_I_ _mean_ _, _ _uh_, it's, money seems to be too big of an issue. _With_ _, _ _with_ _, _ _with_ _, _ with what's going on today",0.4,0,6,0,0.0,0.4,0.0,15,0.13333333333333333,1,0,1,0.06666666666666667,0.0,0.06666666666666667,15,0.5714285714285714,0,12,0,0.0,0.5714285714285714,0.0,21,0.23809523809523808,0,5,0,0.0,0.23809523809523808,0.0,21
sw02005_A_155.wav,"I think that perhaps if we put money on the back burner, that may choose to alleviate a lot of the problem.",I think that perhaps if we put money on the back burner that may choose to alleviate a lot of the problems.,sw2005_a_155,"and I think that may be, perhaps if we put money on the back burner that may choose to alleviate a lot of the problem.","and _I_ _, _ _I_ _think_ _, _ I think _that_ _we_ _may_ _not_ _, _ that may be, _you_ _know_ _, _ perhaps if we put money on the back burner _that_ _may_ _, _ that may choose to alleviate a lot of the problem.",0.12,0,3,0,0.0,0.12,0.0,25,0.16,1,3,0,0.04,0.12,0.0,25,0.3888888888888889,0,14,0,0.0,0.3888888888888889,0.0,36,0.4166666666666667,1,14,0,0.027777777777777776,0.3888888888888889,0.0,36
sw02005_A_19.wav,"Probably the hardest thing in my family, my grandmother, she had to be put in a nursing home. She had used a walker for quite some time, probably about six to nine months, and she had a fall and finally she had Parkinson's disease.","Yeah, probably the hardest thing in my family, my grandmother, she had to be put in a nursing home, and she had used a walker for quite some time, probably about six to nine months, and she had a fall, and finally she had Parkinson's disease",sw2005_a_19,"Probably the hardest thing in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","_Uh-huh_ _. _ _Yeah_ _. _ Probably the hardest thing _in_ _, _ in my family, _uh_, my grandmother, she had to be put in a nursing home and, _um_, she had used the walker _for_ _, _ for quite some time, probably about six to nine months. And, _um_, she had a fall and, _uh_, finally, _uh_, she had Parkinson's disease,",0.044444444444444446,1,1,0,0.022222222222222223,0.022222222222222223,0.0,45,0.044444444444444446,1,0,1,0.022222222222222223,0.0,0.022222222222222223,45,0.2037037037037037,1,10,0,0.018518518518518517,0.18518518518518517,0.0,54,0.16666666666666666,1,8,0,0.018518518518518517,0.14814814814814814,0.0,54
sw02005_A_29.wav,"I mean, she has children all across the United States.","I mean, she had children all across the United States.",sw2005_a_29,she had children all across the United States,"_I_ _mean_ _, _ _she_ _tr-_ _, _ _she_ _had_ _, _ she had children all across the United States",0.375,1,0,2,0.125,0.0,0.25,8,0.25,0,0,2,0.0,0.0,0.25,8,0.35714285714285715,1,4,0,0.07142857142857142,0.2857142857142857,0.0,14,0.2857142857142857,0,4,0,0.0,0.2857142857142857,0.0,14
sw02005_A_37.wav,"Yeah, I mean for somebody who for most of their life has not just merely had a farm but had ten children, had a farm, ran everything because her husband was away in the coal mine","Yeah, I mean for somebody who for most of their life has not just merely had a farm but had ten children, had a farm, ran everything because her husband was away in the coal mine.",sw2005_a_37,"for somebody who for most of their life has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","_Yeah_ _. _ _I_ _mean_ _, _ for somebody who _is_ _, _ _you_ _know_ _, _ for most of their life _has_ _, _ has, _uh_, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.",0.12121212121212122,1,0,3,0.030303030303030304,0.0,0.09090909090909091,33,0.12121212121212122,1,0,3,0.030303030303030304,0.0,0.09090909090909091,33,0.14634146341463414,1,5,0,0.024390243902439025,0.12195121951219512,0.0,41,0.14634146341463414,1,5,0,0.024390243902439025,0.12195121951219512,0.0,41
sw02005_A_47.wav,I think that all the brothers and sisters got together and they actually had a conference.,"I think that they had a great deal of, all the brothers and sisters got together, and they actually had a conference.",sw2005_a_47,"I think that they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that _they_ _, _ they had a great deal of, _um_, all the brothers and sisters got together and they actually had a conference.",0.2727272727272727,0,6,0,0.0,0.2727272727272727,0.0,22,0.0,0,0,0,0.0,0.0,0.0,22,0.3333333333333333,0,8,0,0.0,0.3333333333333333,0.0,24,0.08333333333333333,0,2,0,0.0,0.08333333333333333,0.0,24
