file,speaker,turn,text_fluent,text_disfluent,keep,edited_count,intj_count,prn_count,edited_nodes_only,intj_only,prn_only,edited_intj,intj_prn,edited_prn,edited_prn_intj,ZH_gpt52,ES_gpt52,HI_gpt52,FR_gpt52,DE_gpt52,IT_gpt52,CZ_gpt52,AR_gpt52
sw2005,B,2,"of course, it's one of the last few things in the world you'd ever want to do Unless it's just really, for their own good.","_Well_, of course, _it_ _'s_ _, _ _you_ _know_ _, _ it's one of the last few things in the world you'd ever want to do _, _ _you_ _know_ _. _ Unless it's just _, _ _you_ _know_ _, _ really _, _ _you_ _know_ _, _ _and_, _uh_, _for_ _their_ _, _ _uh_ _, _ _you_ _know_ _, _ for their own good.",True,3,3,5,", of course, it's, it's one of the last few things in the world you'd ever want to do Unless it's just really and, for their, for their own good.","Well, of course, it's one of the last few things in the world you'd ever want to do Unless it's just really, uh, uh for their own good.",", of course, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, you know, for their own good.","Well, of course, it's, it's one of the last few things in the world you'd ever want to do Unless it's just really and, uh, for their, uh for their own good.","Well, of course, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, uh, uh, you know, for their own good.",", of course, it's, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, and, for their, you know, for their own good.","Well, of course, it's, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, and, uh, for their, uh, you know, for their own good.",当然，这当然是你在这个世界上最不想做的几件事之一——除非这真的（是必要的），而且是为了他们自己好。,"Por supuesto, es una de las últimas cosas en el mundo que uno querría hacer, a menos que sea realmente por su propio bien.","बिल्कुल, यह दुनिया में उन आख़िरी कुछ चीज़ों में से एक है जो आप कभी करना चाहेंगे—जब तक कि यह सचमुच उनके लिए, उनके अपने भले के लिए ही न हो।","Bien sûr, c’est l’une des toutes dernières choses au monde que vous voudriez faire — à moins que ce ne soit vraiment, et pour leur propre bien.","Natürlich ist es natürlich eine der letzten Sachen auf der Welt, die man jemals tun möchte – es sei denn, es ist wirklich nötig und zu ihrem eigenen Wohl.","Certo, è una delle ultime cose al mondo che vorresti mai fare, a meno che non sia davvero… e, per il loro bene.","„Samozřejmě, je to jedna z posledních věcí na světě, které bys kdy chtěl udělat, ledaže by to bylo opravdu — a to pro jejich vlastní dobro.“",وبالطبع، فهذا واحد من آخر الأشياء القليلة في العالم التي قد ترغب يومًا في فعلها، إلا إذا كان ذلك حقًا من أجل مصلحتهم هم أنفسهم.
sw2005,B,4,"I'd be very very careful checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke, about, eight months ago.","I'd be very very careful _and_ _, _ _uh_ _, _ _you_ _know_ _, _ checking them out. _Uh_, our, had t-, place my mother in a nursing home. She had a rather massive stroke _about_ _, _ _uh_, about _uh_, eight months ago _I_ _guess_.",True,2,4,2,"I'd be very very careful and, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, about, eight months ago.","I'd be very very careful uh checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke uh, about uh, eight months ago.","I'd be very very careful, you know, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke, about, eight months ago I guess.","I'd be very very careful and, uh checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, uh, about uh, eight months ago.","I'd be very very careful uh, you know, checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke uh, about uh, eight months ago I guess.","I'd be very very careful and, you know, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, about, eight months ago I guess.","I'd be very very careful and, uh, you know, checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, uh, about uh, eight months ago I guess.",我会非常非常小心，仔细核实一下。我们曾经不得不把我母亲送进养老院。她大约八个月前中风了，而且情况相当严重。,"Yo tendría muchísimo cuidado y, al revisarlos, nuestro… tuve que internar a mi madre en un asilo de ancianos. Ella sufrió un derrame cerebral bastante masivo hace… hace unos ocho meses.","मैं बहुत-बहुत सावधान रहता, और उन्हें जाँचते हुए, मैंने— अपनी माँ को नर्सिंग होम में रखने का फैसला किया। उन्हें करीब आठ महीने पहले काफ़ी गंभीर स्ट्रोक हुआ था।","Je serais très, très prudent et, en les examinant, nous avons dû placer ma mère dans une maison de retraite médicalisée. Elle a eu un AVC assez massif il y a environ huit mois.","Ich wäre sehr, sehr vorsichtig und würde mich, wenn ich sie mir anschaue, … Ich musste meine Mutter in einem Pflegeheim unterbringen. Sie hatte vor etwa acht Monaten einen ziemlich schweren Schlaganfall.","Sarei molto, molto prudente e, dopo averli controllati, avevamo… avevo deciso di mettere mia madre in una casa di cura. Ha avuto un ictus piuttosto grave circa… circa otto mesi fa.","Byl bych velmi, velmi opatrný a při tom, když si je prověřuji, bych – ehm – umístil svou matku do domova pro seniory. Asi před osmi měsíci prodělala poměrně masivní mrtvici.",سأكون حذرًا جدًا جدًا، ومع التحقق منها، لقد كان لدينا… أن أضع والدتي في دار رعاية للمسنين. لقد تعرضت لسكتة دماغية كبيرة نوعًا ما قبل نحو… نحو ثمانية أشهر.
sw2005,B,8,"So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. we didn't have six months to check all of these places out. And it was really not very good, deal.","So, I was very comfortable _, _ _you_ _know_ _, _ in doing it when it got to the point that we had to do it. But there's, _well_, I had an occasion for my mother-in-law who had fell and _needed_ _to_ _be_ _, _ _you_ _know_ _, _ could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. _Uh_, it had to be done in a hurry. _I_ _mean_ _, _ we didn't have _, _ _you_ _know_ _, _ _like_ six months to check all of these places out. And it was really _not_ _, _ not very good, _uh_, deal.",True,2,4,4,"So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and needed to be, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. we didn't have six months to check all of these places out. And it was really not, not very good, deal.","So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. we didn't have like six months to check all of these places out. And it was really not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. I mean, we didn't have, you know, six months to check all of these places out. And it was really not very good, deal.","So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and needed to be, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. we didn't have like six months to check all of these places out. And it was really not, not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. I mean, we didn't have, you know, like six months to check all of these places out. And it was really not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and needed to be, you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. I mean, we didn't have, you know, six months to check all of these places out. And it was really not, not very good, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and needed to be, you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. I mean, we didn't have, you know, like six months to check all of these places out. And it was really not, not very good, uh, deal.",所以，等到真的必须去做的时候，我已经很适应、也很从容了。但是，我岳母有一次摔倒了，之后就再也无法照顾自己，只能在养老院住了一段时间。那段经历真的不太好，而且事情来得很突然，必须赶快处理。我们没有六个月的时间去把这些地方都考察一遍。结果真的不怎么样，不是个好经历。,"Así que me sentía muy cómodo haciéndolo cuando llegó el momento de tener que hacerlo. Pero hubo una ocasión con mi suegra, que se había caído y ya no podía cuidarse sola; la internaron en una residencia de ancianos por un tiempo, y la verdad es que no fue una experiencia muy buena. Hubo que hacerlo deprisa; no teníamos seis meses para revisar todos esos lugares. Y realmente no fue un buen trato.","तो, जब बात वहाँ तक पहुँची कि हमें यह करना ही था, तो इसे करने में मैं काफी सहज था। लेकिन, मेरी सास के साथ एक घटना हुई—वह गिर गई थीं और अब अपना ख्याल खुद नहीं रख सकती थीं। उन्हें कुछ समय के लिए नर्सिंग होम में रखना पड़ा। वह सच में बहुत अच्छा अनुभव नहीं था; सब कुछ जल्दी-जल्दी में करना पड़ा। हमारे पास इन सारी जगहों को देख-परखने के लिए छह महीने नहीं थे। और यह वाकई कोई बहुत अच्छा सौदा/व्यवस्था नहीं थी।","Alors, je me sentais très à l’aise pour le faire quand on en est arrivé au point où il fallait le faire. Mais il y a eu une situation avec ma belle-mère : elle était tombée et avait besoin d’aide, elle ne pouvait plus s’occuper d’elle-même. Elle a été placée pendant un certain temps dans une maison de retraite, et ce n’était vraiment pas une très bonne expérience. Il a fallu agir dans l’urgence : nous n’avions pas six mois pour aller visiter et comparer tous ces établissements. Et ce n’était vraiment pas… pas une situation très satisfaisante.","Also, ich hatte kein Problem damit, das zu tun, als es schließlich so weit war, dass wir es tun mussten. Aber ich hatte da eine Situation mit meiner Schwiegermutter, die gestürzt war und sich nicht mehr selbst versorgen konnte und deshalb eine Zeit lang in ein Pflegeheim musste. Das war wirklich keine sehr gute Erfahrung; es musste alles überstürzt passieren. Wir hatten keine sechs Monate Zeit, um uns all diese Einrichtungen anzusehen. Und es war wirklich kein besonders gutes Arrangement.","Quindi, ero molto tranquillo nel farlo quando è arrivato il momento in cui dovevamo farlo. Però mi è capitata una situazione con mia suocera, che era caduta e aveva bisogno di assistenza: non riusciva più a prendersi cura di sé e per un periodo è stata ricoverata in una casa di riposo. È stata davvero un’esperienza non molto positiva; bisognava fare tutto in fretta. Non avevamo sei mesi per andare a vedere e valutare tutte queste strutture. E, davvero, non è stato affatto un bel… affare.","Takže jsem se s tím cítil/a docela v pohodě, když došlo na to, že to musíme udělat. Ale měl/a jsem zkušenost s mojí tchyní, která upadla a už se o sebe nedokázala postarat, takže byla na nějakou dobu umístěna do domova pro seniory. Nebyla to vůbec dobrá zkušenost, muselo se to udělat narychlo. Neměli jsme šest měsíců na to, abychom si všechna ta zařízení prověřili. A opravdu to nebyla moc dobrá situace.",لذا، كنتُ مرتاحًا جدًا لفعل ذلك عندما وصل الأمر إلى النقطة التي كان علينا فيها أن نفعله. لكن حدثت لديّ مناسبة تتعلق بحماتي التي سقطت واحتاجت إلى رعاية، ولم تعد قادرة على الاعتناء بنفسها، فتم إيداعها في دار رعاية لفترة، ولم تكن تلك تجربة جيدة جدًا حقًا. كان لا بد من القيام بذلك على عجل؛ لم يكن لدينا ستة أشهر لنتفقد كل هذه الأماكن. وكان الأمر في الحقيقة ليس جيدًا، ليس صفقة جيدة.
sw2005,B,14,"is there something else we could have done in checking out all the places that, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","_You_ _know_ _, _ is there something else we could have done _, _ _you_ _know_ _, _ in checking out all the places that, _uh_, might be available. Of course _, _ _you_ _know_ _, _ there's not one on every corner, especially _, _ _you_ _know_ _, _ smaller areas, smaller towns.",True,0,1,4,"is there something else we could have done in checking out all the places that, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","is there something else we could have done in checking out all the places that, uh, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","is there something else we could have done in checking out all the places that, uh, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, uh, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, uh, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.",在查看所有可能有空位的地方时，我们还能做些什么别的呢？当然，不是每个街角都有一个，尤其是在较小的地区、小城镇里。,"¿Hay algo más que podríamos haber hecho al revisar todos los lugares que podrían estar disponibles? Por supuesto, no hay uno en cada esquina, especialmente en las zonas más pequeñas, en los pueblos pequeños.","क्या हम सभी उन जगहों को देख लेने के दौरान, जो उपलब्ध हो सकती थीं, कुछ और कर सकते थे? बेशक, हर कोने पर ऐसी कोई जगह नहीं होती—खासकर छोटे इलाकों और छोटे कस्बों में।","Y a-t-il autre chose que nous aurions pu faire en vérifiant tous les lieux qui pourraient être disponibles ? Bien sûr, il n’y en a pas à chaque coin de rue, surtout dans les petites régions, les petites villes.","Gibt es noch etwas anderes, das wir hätten tun können, indem wir uns all die Orte angesehen haben, die möglicherweise verfügbar sind? Natürlich gibt es nicht an jeder Ecke einen, besonders in kleineren Gegenden, kleineren Städten.","C’è qualcos’altro che avremmo potuto fare, controllando tutti i posti che potrebbero essere disponibili. Certo, non ce n’è uno a ogni angolo, soprattutto nelle zone più piccole, nei paesi più piccoli.","Dalo se ještě něco udělat při prověřování všech míst, která by mohla být k dispozici? Samozřejmě není jedno na každém rohu, zvlášť v menších oblastech, v menších městech.",هل كان هناك شيء آخر كان بإمكاننا القيام به أثناء التحقّق من جميع الأماكن التي قد تكون متاحة؟ بالطبع لا يوجد مكان في كل زاوية، خصوصًا في المناطق الأصغر والبلدات الصغيرة.
sw2005,A,19,"Probably the hardest thing in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","_Uh-huh_ _. _ _Yeah_ _. _ Probably the hardest thing _in_ _, _ in my family, _uh_, my grandmother, she had to be put in a nursing home and, _um_, she had used the walker _for_ _, _ for quite some time, probably about six to nine months. And, _um_, she had a fall and, _uh_, finally, _uh_, she had Parkinson's disease,",True,2,7,0,"Probably the hardest thing in, in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for, for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Probably the hardest thing in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in, in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for, for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Probably the hardest thing in, in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for, for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in, in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for, for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,",在我们家里，可能最难的一件事就是我奶奶。她不得不被送进养老院，而且她用助行器已经有一段时间了，大概六到九个月。后来她摔了一跤，最后她被诊断出患有帕金森病。,"Probablemente lo más difícil en mi familia fue que mi abuela tuvo que ser ingresada en una residencia de ancianos y había estado usando un andador durante bastante tiempo, probablemente entre seis y nueve meses. Y se cayó y, finalmente, tenía la enfermedad de Parkinson.","शायद मेरे परिवार में सबसे कठिन बात यह थी कि मेरी दादी को एक नर्सिंग होम में रखना पड़ा। वे काफी समय से वॉकर का इस्तेमाल कर रही थीं, शायद लगभग छह से नौ महीने। फिर वे गिर गईं और आखिरकार उन्हें पार्किंसन रोग हो गया।","Probablement la chose la plus difficile, dans ma famille, c’est que ma grand-mère a dû être placée dans une maison de retraite et elle utilisait un déambulateur depuis déjà pas mal de temps, probablement depuis environ six à neuf mois. Et elle a fait une chute et, finalement, on a appris qu’elle avait la maladie de Parkinson.","Wahrscheinlich war das Schwierigste in meiner Familie, dass meine Großmutter in ein Pflegeheim gebracht werden musste. Sie hatte schon seit einiger Zeit einen Rollator benutzt, wahrscheinlich etwa sechs bis neun Monate. Dann ist sie gestürzt, und schließlich hatte sie Parkinson.","Probabilmente la cosa più difficile, nella mia famiglia, è stata che mia nonna ha dovuto essere ricoverata in una casa di riposo e usava il deambulatore già da un po’ di tempo, probabilmente da circa sei a nove mesi. Poi è caduta e, alla fine, aveva il morbo di Parkinson.","Pravděpodobně nejtěžší věc v naší rodině byla, že moje babička musela být umístěna do domova pro seniory. Už nějakou dobu používala chodítko, asi tak šest až devět měsíců. Pak upadla a nakonec se ukázalo, že měla Parkinsonovu chorobu.",ربما كان أصعب شيء في عائلتي هو أن جدّتي كان لا بدّ من إيداعها في دار رعاية للمسنّين، وكانت تستخدم جهاز المشي (المشّاية) منذ فترة طويلة، على الأرجح لمدة تتراوح بين ستة إلى تسعة أشهر. ثم تعرّضت لسقوط، وأخيرًا تبيّن أنها كانت تعاني من مرض باركنسون.
sw2005,A,29,she had children all across the United States,"_I_ _mean_ _, _ _she_ _tr-_ _, _ _she_ _had_ _, _ she had children all across the United States",True,2,0,1,"she tr-, she had, she had children all across the United States",she had children all across the United States,"I mean, she had children all across the United States","she tr-, she had, she had children all across the United States","I mean, she had children all across the United States","I mean, she tr-, she had, she had children all across the United States","I mean, she tr-, she had, she had children all across the United States",她——她有孩子，遍布整个美国各地。,"Ella tr-, ella tenía, ella tenía hijos por todo Estados Unidos.",वह ट्र-… उसके बच्चे पूरे संयुक्त राज्य अमेरिका में फैले हुए थे।,"Elle tr-, elle avait, elle avait des enfants partout aux États-Unis.","Sie tr-; sie hatte, sie hatte Kinder in den ganzen Vereinigten Staaten.","Lei ave-, lei aveva, lei aveva figli in tutti gli Stati Uniti.",Ona… ona měla děti po celých Spojených státech.,هي ــ، كان لديها، كان لديها أطفال في جميع أنحاء الولايات المتحدة.
sw2005,A,37,"for somebody who for most of their life has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","_Yeah_ _. _ _I_ _mean_ _, _ for somebody who _is_ _, _ _you_ _know_ _, _ for most of their life _has_ _, _ has, _uh_, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.",True,2,2,2,"for somebody who is, for most of their life has, has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. for somebody who for most of their life has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","I mean, for somebody who you know, for most of their life has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. for somebody who is, for most of their life has, has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. I mean, for somebody who you know, for most of their life has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","I mean, for somebody who is, you know, for most of their life has, has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. I mean, for somebody who is, you know, for most of their life has, has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.",对于一个人来说，她一生中的大部分时间里，不只是仅仅拥有一个农场，还养育了十个孩子，经营打理所有事情，因为她的丈夫在煤矿工作不在家。,"Para alguien que, durante la mayor parte de su vida, no solo tuvo una granja, sino que tuvo diez hijos, tuvo una granja y se encargaba de todo porque su marido estaba fuera trabajando en las minas de carbón.","उस व्यक्ति के लिए, जिसने अपनी ज़िंदगी के अधिकांश हिस्से में—सिर्फ़ एक खेत ही नहीं चलाया, बल्कि दस बच्चों की परवरिश भी की—खेत संभाला और सब कुछ चलाया, क्योंकि उसका पति कोयले की खदानों में दूर था।","Pour quelqu’un qui, pendant la plus grande partie de sa vie, a eu — a eu — non seulement une ferme, mais aussi dix enfants ; qui avait une ferme, s’occupait de tout, parce que son mari était parti travailler dans les mines de charbon.","Für jemanden, der – den größten Teil seines Lebens – nicht nur einfach einen Bauernhof hatte, sondern zehn Kinder hatte, den Bauernhof hatte und alles geführt hat, weil ihr Mann in den Kohleminen weg war.","Per una persona che, per la maggior parte della sua vita, non ha semplicemente avuto una fattoria, ma ha avuto dieci figli e una fattoria, e mandava avanti tutto perché il marito era via nelle miniere di carbone.","Pro někoho, kdo po většinu svého života nejenže měl farmu, ale měl deset dětí a vedl celé hospodářství, protože její manžel byl pryč v uhelných dolech.",بالنسبة لشخصٍ قضى معظم حياته—لم يكن مجرد شخصٍ يملك مزرعة فحسب، بل كان لديه عشرة أطفال، وكان يدير المزرعة ويدير كل شيء لأن زوجها كان بعيدًا يعمل في مناجم الفحم.
sw2005,A,47,"I think that they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that _they_ _, _ they had a great deal of, _um_, all the brothers and sisters got together and they actually had a conference.",True,1,1,0,"I think that they, they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.",我觉得他们——他们真的非常投入，所有的兄弟姐妹都聚在一起，实际上还开了个会议。,"Creo que ellos, ellos tenían mucho de…, todos los hermanos y hermanas se reunieron y de hecho tuvieron una conferencia.",मुझे लगता है कि उन्होंने—उन्होंने काफ़ी हद तक—सभी भाइयों और बहनों ने साथ मिलकर वास्तव में एक सम्मेलन किया था।,Je pense qu’ils avaient beaucoup de choses à dire : tous les frères et sœurs se sont réunis et ils ont effectivement tenu une conférence.,"Ich glaube, dass sie – alle Brüder und Schwestern – zusammenkamen und tatsächlich eine Konferenz abgehalten haben.",Penso che loro avessero molto da discutere: tutti i fratelli e le sorelle si sono riuniti e hanno effettivamente tenuto una conferenza.,"Myslím, že oni… že se všichni bratři a sestry sešli a vlastně měli konferenci.",أعتقد أنهم، كان لديهم قدر كبير من… أن جميع الإخوة والأخوات اجتمعوا معًا، وقد عقدوا بالفعل مؤتمرًا.
sw2005,A,55,"whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","_You_ _know_ _, _ whether it was just _, _ _you_ _know_ _, _ giving money or whether it was actually taking part in a lot, of the decision making _, _ _you_ _know_ _, _ like finding a proper nursing home.",True,0,0,3,"whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.",无论只是给钱，还是实际上在很多决策中亲自参与，比如帮忙找到合适的养老院。,"Ya fuera simplemente dar dinero o participar de verdad en muchas de las decisiones, como encontrar un asilo de ancianos adecuado.","चाहे वह सिर्फ पैसे देना था, या वास्तव में कई फैसलों में सक्रिय रूप से भाग लेना था—जैसे कि एक उपयुक्त नर्सिंग होम ढूँढ़ना।","Que ce soit simplement donner de l’argent ou réellement participer beaucoup à la prise de décisions, comme trouver une maison de retraite adaptée.","Ob es nur darum ging, Geld zu geben, oder ob es darum ging, tatsächlich stark in die Entscheidungsfindung eingebunden zu sein, etwa indem man ein geeignetes Pflegeheim findet.","Che si trattasse semplicemente di dare dei soldi oppure di partecipare davvero molto al processo decisionale, ad esempio nel trovare una casa di riposo adeguata.","Ať už šlo jen o poskytnutí peněz, nebo o skutečnou účast na velké části rozhodování, například o nalezení vhodného domova s pečovatelskou službou.",سواء كان الأمر مجرد تقديم المال، أو كان في الواقع المشاركة في كثيرٍ من صنع القرار، مثل إيجاد دار رعاية مناسبة.
sw2005,A,65,"so, it, I truly wish that if something like that were to happen that my children would do something like, that for me.","_So_ _, _ so, _I_ _mean_ _, _ it, _I_ _mean_ _, _ _I_ _, _ _I_ _, _ _I_ _, _ _I_ _har-_ _, _ _I_ _, _ I truly wish that if something like that were to happen that my children would do something like, that for me.",True,6,0,2,"So, so, it, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, it, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, I mean, it, I mean, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, it, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, I mean, it, I mean, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, I mean, it, I mean, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, I mean, it, I mean, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.",所以，所以，我，我，我，我——我，我真的希望，如果真的发生那样的事，我的孩子们也能为我做出类似的事情。,"Entonces, entonces, yo, yo, yo, yo tar-, yo, yo de verdad desearía que, si algo así llegara a suceder, mis hijos hicieran algo así por mí.","तो, तो, मैं, मैं, मैं, मैं ह-… मैं, मैं सच में चाहता/चाहती हूँ कि अगर कभी ऐसा कुछ हो जाए, तो मेरे बच्चे मेरे लिए भी ऐसा ही कुछ करें।","Alors, alors, je… je… je… je… je veux vraiment que, si quelque chose comme ça devait arriver, mes enfants fassent quelque chose comme ça pour moi.","Also, also, ich, ich, ich, ich ha–, ich, ich wünsche mir wirklich, dass, wenn so etwas passieren würde, meine Kinder so etwas für mich tun würden.","Quindi, quindi, io, io, io, io, balb-, io, io desidero davvero che, se dovesse succedere una cosa del genere, i miei figli facciano qualcosa del genere per me.","Tak, tak, já, já, já, já, já… já si opravdu přeju, aby se, kdyby se něco takového stalo, moje děti zachovaly nějak takhle i vůči mně.",إذًا، إذًا، أنا، أنا، أنا، أنا تلعثمت— أنا، أنا أتمنى حقًا أنه إذا حدث شيءٌ كهذا، فإن أطفالي سيفعلون شيئًا من هذا القبيل من أجلي.
