file,transcript_standard,transcript_disfluent,audio_id,reference_fluent,reference_disfluent,wer_standard_vs_fluent,s_standard_vs_fluent,d_standard_vs_fluent,i_standard_vs_fluent,s_rate_standard_vs_fluent,d_rate_standard_vs_fluent,i_rate_standard_vs_fluent,ref_words_standard_vs_fluent,wer_disfluent_vs_fluent,s_disfluent_vs_fluent,d_disfluent_vs_fluent,i_disfluent_vs_fluent,s_rate_disfluent_vs_fluent,d_rate_disfluent_vs_fluent,i_rate_disfluent_vs_fluent,ref_words_disfluent_vs_fluent,wer_standard_vs_disfluent,s_standard_vs_disfluent,d_standard_vs_disfluent,i_standard_vs_disfluent,s_rate_standard_vs_disfluent,d_rate_standard_vs_disfluent,i_rate_standard_vs_disfluent,ref_words_standard_vs_disfluent,wer_disfluent_vs_disfluent,s_disfluent_vs_disfluent,d_disfluent_vs_disfluent,i_disfluent_vs_disfluent,s_rate_disfluent_vs_disfluent,d_rate_disfluent_vs_disfluent,i_rate_disfluent_vs_disfluent,ref_words_disfluent_vs_disfluent
sw02005_A_111.wav,"I I think I think I think, you know, for myself, I I see that as probably the the what everything","I I think I think I think, you know, for myself, I I see that as probably the the what everything",sw2005_a_111,"I think, for myself I see that as probably what everything would hinge upon.","_I_ _think_ _, _ _I_ _think_ _, _ I think, _you_ _know_ for myself _I_ _, _ I see that as probably _the_ _, _ _the_ _, _ what everything would hinge upon.",0.9285714285714286,0,3,10,0.0,0.21428571428571427,0.7142857142857143,14,0.9285714285714286,0,3,10,0.0,0.21428571428571427,0.7142857142857143,14,0.17391304347826086,0,3,1,0.0,0.13043478260869565,0.043478260869565216,23,0.17391304347826086,0,3,1,0.0,0.13043478260869565,0.043478260869565216,23
sw02005_A_121.wav,"Yeah. You know, it's it's interesting that that a lot of the population in the United States is changing because, you know, now that so many more minorities where they have had extended families for such a long","Yeah. You know, it's it's interesting that that a lot of the population in the United States is changing because, you know, now that so many more minorities where they have had extended families for such a long",sw2005_a_121,"it's interesting that the population of the United States is changing because, now that so many more minorities, where they have had extended families for such a long time.","_Yeah_ _. _ _You_ _know_ _it_ _'s_ _, _ it's interesting _that_ _, _ that _a_ _lot_ _, _ the population of the United States is changing because _, _ _you_ _know_ _, _ _uh_, now that so many more minorities, where they have had extended families for such a long time.",0.41379310344827586,1,1,10,0.034482758620689655,0.034482758620689655,0.3448275862068966,29,0.41379310344827586,1,1,10,0.034482758620689655,0.034482758620689655,0.3448275862068966,29,0.15,2,3,1,0.05,0.075,0.025,40,0.15,2,3,1,0.05,0.075,0.025,40
sw02005_A_127.wav,"But I guess as we become more industrialized and more, you know, less in a rural situation, we we don't we we we choose not to deal with the extended family because we feel it's kind of cumbersome. When in reality, it makes things much","But I guess as we become more industrialized and more, you know, less in a rural situation, we we don't we we we choose not to deal with the extended family because we feel it's kind of cumbersome. When in reality, it makes things much",sw2005_a_127,"But, I guess as we become more industrialized and less in a rural situation we choose not to deal with the, extended family because we feel it's kind of cumbersome, when in reality it makes things much much easier.","But, I guess as we become more industrialized and _more_ _, _ _you_ _know_ _, _ less in a rural situation _we_ _, _ _we_ _do_ _n't_ _, _ _we_ _, _ _we_ _, _ we choose not to deal with the, extended family because we feel it's kind of cumbersome, when in reality it makes things much much easier.",0.2564102564102564,0,2,8,0.0,0.05128205128205128,0.20512820512820512,39,0.2564102564102564,0,2,8,0.0,0.05128205128205128,0.20512820512820512,39,0.08333333333333333,1,3,0,0.020833333333333332,0.0625,0.0,48,0.08333333333333333,1,3,0,0.020833333333333332,0.0625,0.0,48
sw02005_A_147.wav,"Yeah. But uh I I I think that, you know, I mean we always uh I mean I've I've had a a lot of good experiences with a with many, many people, especially where they've had extended family and I and and I I kind of see that that, you know, perhaps, you know, we may need to like get close to the family environment and and get down to the values of, you know, I mean,","Yeah. But uh I I I think that, you know, I mean, we always uh I mean, I've I've had a a lot of good experiences with a with many, many people, especially where they've had extended family. And I and and I I kind of see that that, you know, perhaps, you know, we may need to like get close to the family environment and and get down to the values of, you know, I mean,
Yeah. But uh I I I think that, you know, I mean, we always uh I mean, I've I've had a a lot of good experiences with a with many, many people, especially where they've had extended family. And I and and I I kind of see that that, you know, perhaps, you know, we may need to like get close to the family environment and and get down to the values of, you know, I mean,",sw2005_a_147,"But, I think that I've had a lot of good experiences, with many people especially where they've had, extended family. and I kind of see that, perhaps we may need to get close to the family environment and get down to the values of,","_Yeah_ _. _ But, _uh_, _I_ _, _ _I_ _, _ I think that _, _ _you_ _know_ _, _ _we_ _always_ _, _ _uh_ _, _ _I_ _mean_ _, _ _I_ _'ve_ _, _ I've had a lot of good experiences _with_ _, _ _uh_, with _many_ many people especially where they've had, _uh_, extended family. _And_ _I_ _, _ and _I_ _, _ I kind of see _that_ _, _ that, _you_ _know_ _, _ perhaps _, _ _you_ _know_ _, _ we may need to _like_ get close to the family environment _and_ and get down to the values of _, _ _you_ _know_,",0.75,0,0,33,0.0,0.0,0.75,44,2.5,0,0,110,0.0,0.0,2.5,44,0.136986301369863,2,2,6,0.0273972602739726,0.0273972602739726,0.0821917808219178,73,1.1643835616438356,2,1,82,0.0273972602739726,0.0136986301369863,1.1232876712328768,73
sw02005_A_149.wav,"I mean, you know, it's money seems to be too big of an issue with with with with with with what's going on today.","I mean, uh, it's money seems to be too big of an issue with with with with with with what's going on.",sw2005_a_149,"it's, money seems to be too big of an issue. with what's going on today","_I_ _mean_ _, _ _uh_, it's, money seems to be too big of an issue. _With_ _, _ _with_ _, _ _with_ _, _ with what's going on today",0.6,0,0,9,0.0,0.0,0.6,15,0.6,0,1,8,0.0,0.06666666666666667,0.5333333333333333,15,0.19047619047619047,1,0,3,0.047619047619047616,0.0,0.14285714285714285,21,0.14285714285714285,0,1,2,0.0,0.047619047619047616,0.09523809523809523,21
sw02005_A_155.wav,"and I I think I think that we may not, you know, that may be, you know, perhaps if we put money on the back burner, that may that may choose to alleviate a lot of the problem.","and I I think I think that we may not, you know, that may be, you know, perhaps if we put money on the back burner, that may that may choose to alleviate a lot of the problem.",sw2005_a_155,"and I think that may be, perhaps if we put money on the back burner that may choose to alleviate a lot of the problem.","and _I_ _, _ _I_ _think_ _, _ I think _that_ _we_ _may_ _not_ _, _ that may be, _you_ _know_ _, _ perhaps if we put money on the back burner _that_ _may_ _, _ that may choose to alleviate a lot of the problem.",0.52,0,0,13,0.0,0.0,0.52,25,0.52,0,0,13,0.0,0.0,0.52,25,0.05555555555555555,0,0,2,0.0,0.0,0.05555555555555555,36,0.05555555555555555,0,0,2,0.0,0.0,0.05555555555555555,36
sw02005_A_19.wav,"Mhm. Yeah, probably the hardest thing in in my family, uh my grandmother, she had to be put in a nursing home and um she had used a walker for for quite some time, probably about six to nine months. And um she had a fall and uh finally uh she had uh Parkinson's disease.","Mhm. Yeah, probably the hardest thing in in my family, uh my grandmother, she had to be put in a nursing home and um she had used a walker for for quite some time, probably about six to nine months. And um she had a fall and uh finally uh she had uh Parkinson's disease.",sw2005_a_19,"Probably the hardest thing in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","_Uh-huh_ _. _ _Yeah_ _. _ Probably the hardest thing _in_ _, _ in my family, _uh_, my grandmother, she had to be put in a nursing home and, _um_, she had used the walker _for_ _, _ for quite some time, probably about six to nine months. And, _um_, she had a fall and, _uh_, finally, _uh_, she had Parkinson's disease,",0.24444444444444444,1,0,10,0.022222222222222223,0.0,0.2222222222222222,45,0.24444444444444444,1,0,10,0.022222222222222223,0.0,0.2222222222222222,45,0.05555555555555555,2,0,1,0.037037037037037035,0.0,0.018518518518518517,54,0.05555555555555555,2,0,1,0.037037037037037035,0.0,0.018518518518518517,54
sw02005_A_29.wav,"I mean, she she had she had children all across the United","I mean, she she had she had children all across the United States.",sw2005_a_29,she had children all across the United States,"_I_ _mean_ _, _ _she_ _tr-_ _, _ _she_ _had_ _, _ she had children all across the United States",0.75,0,1,5,0.0,0.125,0.625,8,0.625,0,0,5,0.0,0.0,0.625,8,0.14285714285714285,0,2,0,0.0,0.14285714285714285,0.0,14,0.07142857142857142,0,1,0,0.0,0.07142857142857142,0.0,14
sw02005_A_37.wav,"Yeah, I mean, for somebody who is, you know, for most of their life has has not just merely had a farm, but had 10 children, had a farm, ran everything because her husband was away in the coal mine.","Yeah, I mean, for somebody who is, you know, for most of their life has has not just merely had a farm, but had 10 children, had a farm, ran everything because her husband was away in the coal mine.",sw2005_a_37,"for somebody who for most of their life has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","_Yeah_ _. _ _I_ _mean_ _, _ for somebody who _is_ _, _ _you_ _know_ _, _ for most of their life _has_ _, _ has, _uh_, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.",0.2727272727272727,2,0,7,0.06060606060606061,0.0,0.21212121212121213,33,0.2727272727272727,2,0,7,0.06060606060606061,0.0,0.21212121212121213,33,0.07317073170731707,2,1,0,0.04878048780487805,0.024390243902439025,0.0,41,0.07317073170731707,2,1,0,0.04878048780487805,0.024390243902439025,0.0,41
sw02005_A_47.wav,I think that they they had a great deal of um all the brothers and sisters got together and they actually had a conference.,I think that they they had a great deal of um all the brothers and sisters got together and they actually had a conference.,sw2005_a_47,"I think that they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that _they_ _, _ they had a great deal of, _um_, all the brothers and sisters got together and they actually had a conference.",0.09090909090909091,0,0,2,0.0,0.0,0.09090909090909091,22,0.09090909090909091,0,0,2,0.0,0.0,0.09090909090909091,22,0.0,0,0,0,0.0,0.0,0.0,24,0.0,0,0,0,0.0,0.0,0.0,24
